,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,upper,lower,signal
0,0,0,2022-01-01 00:00:00,46216.93000000,46527.26000000,46208.37000000,46332.51000000,386.65709000,46332.51,46332.51,46332.51,46332.51,46332.51,47093.643219251506,46279.87972932961,
1,1,1,2022-01-01 00:15:00,46332.52000000,46421.27000000,46236.27000000,46375.42000000,319.99973000,46340.31181818182,46336.596666666665,46334.192745098044,46333.359702970294,46332.936965174136,47103.79515271263,46290.03166279073,
2,2,2,2022-01-01 00:30:00,46375.42000000,46689.42000000,46360.19000000,46610.81000000,386.08077000,46389.49330578512,46362.712222222224,46345.0404805844,46338.85376825801,46335.7018709933,47114.09929348528,46300.33580356338,
3,3,3,2022-01-01 00:45:00,46610.81000000,46731.39000000,46575.76000000,46656.13000000,410.59336000,46437.972704733285,46390.65677248677,46357.240069581094,46345.13646591627,46338.890210585414,47124.56953098198,46310.80604106008,
4,4,4,2022-01-01 01:00:00,46656.14000000,46767.24000000,46574.06000000,46766.99000000,330.08774000,46497.79403114541,46426.49803224993,46373.30869430341,46353.49000124466,46343.14990998258,47135.228992165576,46321.46550224368,
5,5,5,2022-01-01 01:15:00,46766.99000000,46949.99000000,46752.17000000,46815.33000000,259.42027000,46555.52784366442,46463.529648226126,46390.64286315425,46362.635347754665,46347.84821933599,47146.11127426655,46332.34778434465,
6,6,6,2022-01-01 01:30:00,46815.34000000,46884.63000000,46748.05000000,46768.10000000,180.18171000,46594.177326634526,46492.536348395064,46405.44510381487,46370.664350769424,46352.029829093844,47157.26107992678,46343.49759000488,
7,7,7,2022-01-01 01:45:00,46768.11000000,46861.47000000,46711.90000000,46778.14000000,174.12567000,46627.62508542825,46519.73669616697,46420.06058993978,46378.73317550666,46356.26973129191,47168.73394540589,46354.97045548399,
8,8,8,2022-01-01 02:00:00,46778.14000000,46867.75000000,46769.95000000,46845.97000000,121.88714000,46667.32416080493,46550.806534627256,46436.76291974606,46387.985389853064,46361.14237078155,47180.59475035682,46366.83126043492,
9,9,9,2022-01-01 02:15:00,46845.98000000,46928.94000000,46826.00000000,46826.01000000,151.63112000,46696.17613156766,46577.01638847228,46452.027511128574,46396.65914450944,46365.76791933099,47192.91474616349,46379.151256241596,
10,10,10,2022-01-01 02:30:00,46826.00000000,46826.01000000,46721.96000000,46775.91000000,118.53757000,46710.67319855536,46595.95863718921,46464.728785201965,46404.16906243994,46369.84893505904,47205.76695165103,46392.00346172913,
11,11,11,2022-01-01 02:45:00,46775.90000000,46860.39000000,46773.93000000,46811.77000000,93.11277000,46729.05443518166,46616.512100314045,46478.33824460581,46412.2403681342,46374.24615958582,47219.219943615026,46405.45645369313,
12,12,12,2022-01-01 03:00:00,46811.77000000,46851.56000000,46760.12000000,46826.10000000,78.24895000,46746.699083330444,46636.47285266509,46491.97596050362,46420.43560836916,46378.74221769939,47233.330304070805,46419.56681414891,
13,13,13,2022-01-01 03:15:00,46826.11000000,46916.63000000,46777.00000000,46809.15000000,218.66839000,46758.05379545218,46652.91829526841,46504.41415813094,46428.132923054916,46383.0248821999,47248.13424779872,46434.37075787682,
14,14,14,2022-01-01 03:30:00,46809.16000000,46900.00000000,46809.15000000,46867.98000000,132.30528000,46778.04037809724,46673.40036238571,46518.6716421258,46436.84276616274,46387.85030625761,47263.639197788965,46449.87570786707,
15,15,15,2022-01-01 03:45:00,46867.98000000,46898.99000000,46813.20000000,46813.20000000,133.66709000,46784.43303662501,46686.71461358708,46530.22177380715,46444.295384654564,46392.08264151873,47279.81624852397,46466.052758602076,
16,16,16,2022-01-01 04:00:00,46813.21000000,46887.33000000,46630.23000000,46648.04000000,264.47177000,46759.634302693186,46683.03131705498,46534.84209640295,46448.329931493085,46394.6294809066,47296.5945067892,46482.831016867305,
17,17,17,2022-01-01 04:15:00,46648.04000000,46720.13000000,46591.23000000,46708.14000000,199.91580000,46750.271702203514,46685.4226201926,46541.638092622445,46453.4746853249,46397.74898855928,47313.85819393672,46500.094704014824,
18,18,18,2022-01-01 04:30:00,46708.13000000,46783.76000000,46639.18000000,46734.52000000,248.42884000,46747.40775634833,46690.09856112664,46549.2020889902,46459.039939080845,46401.099943897,47331.447129715256,46517.68363979336,
19,19,19,2022-01-01 04:45:00,46734.52000000,46842.98000000,46708.00000000,46711.05000000,149.06748000,46740.797255194084,46692.09393625743,46555.54906589255,46464.03023731687,46404.184024057235,47349.160829197695,46535.3973392758,
20,20,20,2022-01-01 05:00:00,46711.05000000,46780.00000000,46673.94000000,46780.00000000,103.53838000,46747.92502697698,46700.465942328156,46564.351063308524,46470.2870643007,46407.92348650443,47366.76599541596,46553.00250549406,
21,21,21,2022-01-01 05:15:00,46780.00000000,47500.00000000,46762.63000000,47379.13000000,689.54354000,46862.68956752661,46765.10061448738,46596.3031784729,46488.28395411652,46417.58723290737,47384.00676258791,46570.24327266601,
22,22,22,2022-01-01 05:30:00,47379.13000000,47555.55000000,47226.39000000,47300.00000000,407.37499000,46942.200555249045,46816.04341310763,46623.89913225828,46504.357539183526,46426.36745944561,47400.61671741583,46586.853227493935,
23,23,23,2022-01-01 05:45:00,47300.01000000,47314.47000000,47135.30000000,47192.55000000,200.27951000,46987.718636112855,46851.90118328786,46646.19916628737,46517.98511266504,46433.9911663168,47416.331556644946,46602.56806672305,
24,24,24,2022-01-01 06:00:00,47192.56000000,47324.42000000,47089.43000000,47307.04000000,169.14727000,47045.777065910515,46895.24773726045,46672.11449309963,46533.609961919195,46442.67821938828,47430.90125143685,46617.137761514954,
25,25,25,2022-01-01 06:15:00,47307.03000000,47307.04000000,47119.37000000,47130.36000000,98.75754000,47061.15578119951,46917.63938133088,46690.08490513494,46545.426794356434,46449.52082417049,47444.10076879174,46630.33727886984,
26,26,26,2022-01-01 06:30:00,47130.37000000,47197.32000000,47112.91000000,47158.02000000,86.74539000,47078.76745734505,46940.53277358508,46708.435301012,46557.55735288403,46456.570567213574,47455.73870066024,46641.97521073834,
27,27,27,2022-01-01 06:45:00,47158.02000000,47235.49000000,46940.00000000,46979.62000000,259.32756000,47060.740646918675,46944.255366576974,46719.069995089965,46565.91502906455,46461.7750391816,47465.66350617984,46651.90001625794,
