,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
0,0,0,2023-05-01 00:00:00,29233.20000000,29337.34000000,29215.93000000,29315.57,1884.84043,29315.57,29315.57,29315.57,29315.57,29315.57,55255171.5644951,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28919.160513981227,28265.979875615554,sell
1,1,1,2023-05-01 01:00:00,29315.57000000,29315.57000000,28369.95000000,28504.36,7975.68782,29168.07727272727,29238.311904761907,29283.757843137257,29299.50643564356,29307.49825870647,227341876.8688952,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28906.675927525423,28253.49528915975,
2,2,2,2023-05-01 02:00:00,28504.36000000,28680.38000000,28414.00000000,28549.41,4047.55713,29055.592314049583,29172.70219954649,29254.959888504425,29284.653040878344,29299.955091953172,115555368.0027933,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28893.34495141678,28240.164313051107,
3,3,3,2023-05-01 03:00:00,28549.42000000,28592.95000000,28436.27000000,28561.06,2058.7653,28965.67734785875,29114.450561494443,29227.74812817092,29270.324465811445,29292.60290198349,58800519.259218,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28879.05669973531,28225.876061369636,
4,4,4,2023-05-01 04:00:00,28561.07000000,28589.84000000,28486.29000000,28555.0,1378.42285,28891.008739157158,29061.16955563783,29201.365848634803,29256.15962490429,29285.263569625447,39360864.48175,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28863.7003406514,28210.51970228573,
5,5,5,2023-05-01 05:00:00,28555.01000000,28635.53000000,28250.15000000,28483.68,3283.4505,28816.94896840131,29006.170550338986,29173.221305551084,29240.86299866856,29277.287613708777,93524753.33784,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28847.170616905878,28193.989978540205,
6,6,6,2023-05-01 06:00:00,28483.68000000,28598.05000000,28447.21000000,28594.34,1656.2594,28776.474610510162,28966.948593163845,29150.520077882415,29228.06056305136,29270.49211506491,47359644.411795996,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28829.374769449172,28176.1941310835,
7,7,7,2023-05-01 07:00:00,28594.34000000,28713.94000000,28577.52000000,28629.09,2275.10997,28749.677408599222,28934.7715842911,29130.071839534085,29216.199759822623,29264.11000446725,65134328.0910273,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28810.240738177672,28157.060099812,
8,8,8,2023-05-01 08:00:00,28629.08000000,28631.96000000,28550.10000000,28574.45,1443.35753,28717.817879763,28900.45524293004,29108.28274778765,29203.49184378653,29257.247715865586,41243147.5731085,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28789.726324878655,28136.54568651298,
9,9,9,2023-05-01 09:00:00,28574.45000000,28670.10000000,28500.00000000,28524.98,1319.00148,28682.756447078817,28864.69569598432,29085.40813022735,29190.055965691747,29249.961469936574,37624490.8369704,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28767.828788836185,28114.64815047051,
10,10,10,2023-05-01 10:00:00,28524.99000000,28561.39000000,28487.42000000,28552.43,958.59903,28659.06072942812,28834.956105890575,29064.50702708118,29177.429708945376,29243.020858295415,27370331.702142898,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28744.594133640323,28091.41349527465,
11,11,11,2023-05-01 11:00:00,28552.42000000,28591.63000000,28504.63000000,28523.86,1118.82922,28634.478778623008,28805.327905329566,29043.30518288192,29164.487734510814,29235.86502885964,31913328.035189204,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28720.12517461122,28066.944536245548,
12,12,12,2023-05-01 12:00:00,28523.85000000,28610.26000000,28452.25000000,28596.32,1527.608,28627.54081887337,28785.422390536274,29025.776352180666,29153.236888282878,29229.501396731685,43683967.20256,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28694.587395666953,28041.40675730128,
13,13,13,2023-05-01 13:00:00,28596.32000000,28629.42000000,28442.58000000,28457.84,1381.12291,28596.686124532753,28754.224067628056,29003.50433836966,29139.466652871335,29221.82317387863,39303774.7931144,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28668.21165388609,28015.031015520417,
