,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
0,0,0,2022-01-01 00:00:00,3676.22000000,3730.00000000,3676.22000000,3723.04,9023.374,3723.04,3723.04,3723.04,3723.04,3723.04,33594382.336959995,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3801.3144686414294,3638.0310214472106,
1,1,1,2022-01-01 01:00:00,3723.04000000,3748.45000000,3714.10000000,3724.89,8997.7569,3723.3763636363637,3723.2161904761906,3723.1125490196077,3723.076633663366,3723.058407960199,33515654.699241,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3801.2728332855345,3637.9893860913157,
2,2,2,2022-01-01 02:00:00,3724.88000000,3738.47000000,3722.23000000,3728.32,5028.4531,3724.2752066115704,3723.702267573696,3723.3167627835446,3723.180462699735,3723.110762109849,18747682.261792,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3801.2959382010868,3638.012491006868,
3,3,3,2022-01-01 03:00:00,3728.41000000,3737.00000000,3721.84000000,3723.96,3543.1853,3724.2178963185575,3723.726813519059,3723.3419877724255,3723.1958990819185,3723.1192122381094,13194680.329788001,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3801.3979397904395,3638.1144925962208,
4,4,4,2022-01-01 04:00:00,3723.96000000,3728.07000000,3707.24000000,3708.21,6117.282,3721.307369715183,3722.249021755339,3722.7485764872326,3722.899148605049,3722.9708618675813,22684166.28522,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3801.5937635050054,3638.3103163107867,
5,5,5,2022-01-01 05:00:00,3708.20000000,3765.27000000,3702.84000000,3735.61,9353.2056,3723.907847948786,3723.5214958738784,3723.252946036753,3723.150848632672,3723.0966244360634,34939928.371415995,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3801.8985789314615,3638.615131737243,
6,6,6,2022-01-01 06:00:00,3735.60000000,3742.67000000,3708.33000000,3711.92,5239.0026,3721.728239230825,3722.4165915049375,3722.80851678041,3722.9284555904405,3722.98541424267,19446758.530992,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3802.3271042547785,3639.04365706056,
7,7,7,2022-01-01 07:00:00,3711.93000000,3724.93000000,3701.00000000,3715.31,6541.6499,3720.5612866434017,3721.739773266372,3722.514457298825,3722.777595083699,3722.909041961648,24304257.289969,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3802.8927495128787,3639.60930231866,
8,8,8,2022-01-01 08:00:00,3715.32000000,3733.84000000,3708.60000000,3721.4,4013.6403,3720.713779980965,3721.70741390767,3722.470753091028,3722.750315973131,3722.8940266187465,14936361.01242,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3803.606631464807,3640.323184270588,
9,9,9,2022-01-01 09:00:00,3721.14000000,3730.00000000,3709.38000000,3718.67,4515.6636,3720.342183620789,3721.4181363926537,3722.3217039502038,3722.669517637029,3722.851996503137,16792262.759411998,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3804.4765207256737,3641.193073531455,
10,10,10,2022-01-01 10:00:00,3718.67000000,3731.88000000,3673.46000000,3691.39,10412.4737,3715.0781502351906,3718.558313879068,3721.1086959521563,3722.0501212481768,3722.5389418115633,38436501.291443,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3805.505810783256,3642.2223635890373,
11,11,11,2022-01-01 11:00:00,3691.39000000,3712.19000000,3691.02000000,3693.37,4786.2173,3711.131213828792,3716.1594268429662,3720.0209039540327,3721.4821980551433,3722.248703584583,17677271.389301002,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3806.692623613767,3643.409176419548,
12,12,12,2022-01-01 12:00:00,3693.38000000,3718.24000000,3693.37000000,3716.28,6595.553,3712.067356769012,3716.170910000779,3719.874201838188,3721.379184232269,3722.189313499164,24510921.70284,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3808.0291817283146,3644.745734534096,
13,13,13,2022-01-01 13:00:00,3716.28000000,3724.93000000,3706.32000000,3710.03,5715.5972,3711.696928265555,3715.586061429276,3719.4881547072787,3721.1544479108375,3722.068325305143,21205037.079916,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3809.501575496924,3646.2181283027053,
14,14,14,2022-01-01 14:00:00,3710.04000000,3713.68000000,3691.88000000,3697.61,5365.4474,3709.1356685809087,3713.8740555788686,3718.630187856013,3720.6882212195333,3721.8249588841963,19839331.960714,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3811.090033038722,3647.8065858445034,
15,15,15,2022-01-01 15:00:00,3697.04000000,3745.36000000,3693.22000000,3725.3,9380.2088,3712.0746379298344,3714.9622407618335,3718.8917491165616,3720.7795435716216,3721.8595364077364,34944091.842640005,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3812.769756669464,3649.4863094752454,
16,16,16,2022-01-01 16:00:00,3725.29000000,3749.98000000,3718.71000000,3727.62,6785.1471,3714.901067397137,3716.1677416416587,3719.2340334649316,3720.914998154362,3721.916854453431,25292450.032902,3724.2204198158,3758.1387668129,3780.2859733333,3459.5905161134,3814.5123281653405,3651.2288809711217,
