,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
0,0,0,2022-01-01 00:00:00,170.01000000,171.39000000,169.93000000,171.14,18264.82,171.14,171.14,171.14,171.14,171.14,3125841.2948,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.13987631626517,169.0934556397095,
1,1,1,2022-01-01 00:30:00,171.18000000,172.57000000,171.05000000,172.38,18617.49,171.36545454545453,171.25809523809522,171.18862745098036,171.1645544554455,171.1523383084577,3209282.9262,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.1481349279238,169.10171425136812,
2,2,2,2022-01-01 01:00:00,172.37000000,174.30000000,171.77000000,173.73,24968.45,171.79537190082644,171.493514739229,171.28828911956938,171.2153553573179,171.17798668349792,4337768.8185,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.15550260589413,169.10908192933846,
3,3,3,2022-01-01 01:30:00,173.74000000,174.28000000,172.17000000,172.73,25776.81,171.96530428249434,171.61127524025483,171.3448268011549,171.2453483205393,171.1934296020701,4452428.3913,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.16190758398537,169.1154869074297,
4,4,4,2022-01-01 02:00:00,172.73000000,173.22000000,172.57000000,172.96,8957.91,172.14615804931353,171.7397252173734,171.40816692659982,171.2793018191425,171.2110074169749,1549360.1136,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.16728023051306,169.1208595539574,
5,5,5,2022-01-01 02:30:00,172.96000000,173.02000000,172.55000000,172.75,8052.35,172.25594749489287,171.83594186333787,171.46078783143906,171.3084245553971,171.22632077600997,1391043.4625000001,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17155973656716,169.1251390600115,
6,6,6,2022-01-01 03:00:00,172.76000000,172.85000000,172.50000000,172.65,9150.99,172.32759340491234,171.91347120968666,171.50742360275518,171.33499040578525,171.24048673843774,1579918.4235,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17470390968148,169.1282832331258,
7,7,7,2022-01-01 03:30:00,172.64000000,173.14000000,172.62000000,172.94,9834.23,172.4389400585646,172.01123585638317,171.5636030693138,171.3667727739875,171.25739731815477,1700731.7362,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17670259152516,169.1302819149695,
8,8,8,2022-01-01 04:00:00,172.97000000,173.10000000,172.05000000,172.1,10775.65,172.37731459337104,172.01968958434668,171.58463824306622,171.38129212499763,171.2657814244418,1854489.365,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17759499756784,169.13117432101217,
9,9,9,2022-01-01 04:30:00,172.08000000,172.16000000,171.49000000,171.49,11118.47,172.2159846673036,171.96924295726606,171.58092693941657,171.38344475618578,171.26801245504436,1906706.4202999999,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17749090548404,169.13107022892837,
10,10,10,2022-01-01 05:00:00,171.49000000,173.82000000,171.24000000,173.71,15366.34,172.48762381870293,172.13502934228833,171.66442000061593,171.42951515705337,171.29231083857627,2669286.9214000003,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17659509558416,169.1301744190285,
11,11,11,2022-01-01 05:30:00,173.67000000,174.36000000,172.84000000,173.26,13494.15,172.62805585166603,172.24216940492755,171.72699176529767,171.46576238166617,171.31188983520735,2337996.429,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.1752338016817,169.12881312512604,
12,12,12,2022-01-01 06:00:00,173.25000000,173.81000000,172.47000000,172.61,16990.42,172.62477296954492,172.27720089017254,171.76161953920757,171.48842055232623,171.32480635426,2932716.3962,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17388123499435,169.12746055843868,
13,13,13,2022-01-01 06:30:00,172.57000000,173.08000000,172.29000000,172.45,13714.25,172.5929960659913,172.29365794825134,171.7886148513955,171.5074617295079,171.33600231093405,2365022.4124999996,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17318360514813,169.12676292859246,
14,14,14,2022-01-01 07:00:00,172.44000000,172.74000000,172.09000000,172.4,7702.92,172.55790587217467,172.30378576270357,171.81259073957605,171.52513575466617,171.3465893526163,1327983.408,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17397761269004,169.12755693613437,
15,15,15,2022-01-01 07:30:00,172.40000000,173.41000000,172.30000000,173.11,7707.42,172.65828662268837,172.38056807101754,171.86346953410248,171.55651920506884,171.36413572721713,1334231.4762000002,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.17730025535272,169.13087957879705,
16,16,16,2022-01-01 08:00:00,173.11000000,173.30000000,172.80000000,173.18,9264.99,172.75314360038138,172.45670444520636,171.91509817982396,171.5886673396219,171.38220402843885,1604510.9682,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.1843870679132,169.13796639135754,
17,17,17,2022-01-01 08:30:00,173.10000000,173.26000000,172.70000000,172.86,7677.15,172.77257203667568,172.4951135456629,171.9521531531642,171.61384224378781,171.39690846596682,1327072.149,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.19665662826478,169.1502359517091,
18,18,18,2022-01-01 09:00:00,172.86000000,173.30000000,172.58000000,172.75,7734.04,172.76846803000737,172.51938844607596,171.98344126480484,171.63634041717816,171.41037206332038,1336055.41,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.21568025202401,169.16925957546835,
19,19,19,2022-01-01 09:30:00,172.81000000,172.98000000,172.17000000,172.73,6154.04,172.7614738427333,172.53944668930683,172.01271807794976,171.65799704258058,171.42350268955602,1062987.3292,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.24313712782362,169.19671645126795,
20,20,20,2022-01-01 10:00:00,172.72000000,173.40000000,171.73000000,171.95,10467.06,172.6139331440545,172.48330890937285,172.01025854548115,171.66377927936117,171.42874146876443,1799810.9669999997,172.6775409774,174.5995731356,175.4163779388,172.3227220732,176.28075652731906,169.2343358507634,
21,21,21,2022-01-01 10:30:00,171.95000000,172.52000000,170.80000000,171.93,16782.1,172.4895816633173,172.4306128227659,172.00711115154073,171.66905097679955,171.4337291158414,2885346.4529999997,172.7372304519,174.5995731356,175.4163779388,172.3227220732,176.33024996052725,169.28382928397158,
22,22,22,2022-01-01 11:00:00,171.92000000,172.67000000,171.88000000,172.2,4419.4,172.43693045180504,172.40864969678822,172.01467542010775,171.67956481884312,171.44135370175343,761020.6799999999,172.7546068813,174.5995731356,175.4163779388,172.3227220732,176.39323707509766,169.346816398542,
23,23,23,2022-01-01 11:30:00,172.16000000,172.28000000,171.53000000,171.53,7232.81,172.2720340060223,172.32496877328458,171.99566854088783,171.67660313926208,171.4422357544723,1240643.8993000002,172.6091810626,174.5995731356,175.4163779388,172.3227220732,176.47116961982965,169.42474894327398,
24,24,24,2022-01-01 12:00:00,171.56000000,172.30000000,171.45000000,171.96,6214.0,172.21530055038187,172.29020984249559,171.99426977457853,171.68221495828658,171.44738763751238,1068559.44,172.5749474804,174.5995731356,175.4163779388,172.3227220732,176.56525788757855,169.51883721102288,
25,25,25,2022-01-01 12:30:00,171.97000000,172.93000000,171.91000000,172.72,9555.02,172.30706408667606,172.3311422384484,172.02272978341858,171.70276515713238,171.46005044708937,1650343.0544,172.5650945232,174.5995731356,175.4163779388,172.3227220732,176.6764037682226,169.62998309166693,
26,26,26,2022-01-01 13:00:00,172.73000000,173.13000000,172.50000000,172.75,7172.43,172.38759788909857,172.3710334538343,172.05125018406883,171.72350248075352,171.4728857660238,1239037.2825,172.5643142821,174.5995731356,175.4163779388,172.3227220732,176.8051439708051,169.75872329424942,
27,27,27,2022-01-01 13:30:00,172.76000000,173.08000000,172.41000000,172.67,8650.17,172.4389437274443,172.39950645823103,172.07551488273282,171.7422450058871,171.48479735044148,1493624.8539,172.5649396348,174.5995731356,175.4163779388,172.3227220732,176.95160622350406,169.9051855469484,
28,28,28,2022-01-01 14:00:00,172.67000000,172.98000000,172.47000000,172.66,6880.5,172.47913577699987,172.42431536697094,172.0984358677237,171.76041837210715,171.49649090914357,1187987.13,172.5501431371,174.5995731356,175.4163779388,172.3227220732,177.11548042965765,170.06905975310198,
29,29,29,2022-01-01 14:30:00,172.66000000,172.75000000,172.03000000,172.53,8456.88,172.48838381754535,172.43438057011656,172.11535995134238,171.77565761226344,171.50677458168943,1459065.5063999998,172.5732263999,174.5995731356,175.4163779388,172.3227220732,177.29600592118885,170.24958524463318,
