,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,support_and_resistant,2021-01-02 13:30:00,2021-01-02 13:45:00,0.18139,0.18266,0.18054,15m,sl,-0.47,True
1,support_and_resistant,2021-01-02 16:30:00,2021-01-02 16:45:00,0.17806,0.17931,0.17723,15m,tp,0.7,True
2,support_and_resistant,2021-01-02 17:15:00,2021-01-02 17:30:00,0.18144,0.18271,0.18059,15m,tp,0.7,True
3,support_and_resistant,2021-01-03 21:00:00,2021-01-03 21:15:00,0.1972,0.19858,0.19628,15m,tp,0.7,True
4,support_and_resistant,2021-01-04 03:30:00,2021-01-04 03:45:00,0.22096,0.22251,0.21993,15m,tp,0.7,True
5,support_and_resistant,2021-01-05 08:00:00,2021-01-05 08:15:00,0.2235,0.22506,0.22246,15m,tp,0.7,True
6,support_and_resistant,2021-01-05 08:45:00,2021-01-05 09:00:00,0.22673,0.22832,0.22567,15m,tp,0.7,True
7,support_and_resistant,2021-01-05 15:30:00,2021-01-05 15:45:00,0.23732,0.23898,0.23621,15m,tp,0.7,True
8,support_and_resistant,2021-01-05 16:00:00,2021-01-05 16:15:00,0.249,0.25074,0.24784,15m,tp,0.7,True
9,support_and_resistant,2021-01-05 20:15:00,2021-01-05 21:15:00,0.25126,0.25302,0.25009,15m,tp,0.7,True
10,support_and_resistant,2021-01-06 01:30:00,2021-01-06 01:45:00,0.26666,0.26853,0.26542,15m,sl,-0.47,True
11,support_and_resistant,2021-01-06 02:30:00,2021-01-06 02:45:00,0.27085,0.27275,0.26959,15m,tp,0.7,True
12,support_and_resistant,2021-01-06 07:30:00,2021-01-06 07:45:00,0.2764,0.27833,0.27511,15m,tp,0.7,True
13,support_and_resistant,2021-01-06 08:00:00,2021-01-06 08:15:00,0.28535,0.28735,0.28402,15m,sl,-0.47,True
14,support_and_resistant,2021-01-06 11:00:00,2021-01-06 11:15:00,0.28466,0.28665,0.28333,15m,tp,0.7,True
15,support_and_resistant,2021-01-09 00:00:00,2021-01-09 00:15:00,0.30581,0.30795,0.30438,15m,tp,0.7,True
16,support_and_resistant,2021-01-09 15:15:00,2021-01-09 15:30:00,0.31936,0.3216,0.31787,15m,tp,0.7,True
17,support_and_resistant,2021-01-09 17:45:00,2021-01-09 18:15:00,0.3237,0.32597,0.32219,15m,tp,0.7,True
18,support_and_resistant,2021-01-10 06:15:00,2021-01-10 06:45:00,0.34002,0.3424,0.33843,15m,sl,-0.47,True
19,support_and_resistant,2021-01-12 03:00:00,2021-01-12 03:15:00,0.27239,0.2743,0.27112,15m,tp,0.7,True
20,support_and_resistant,2021-01-12 17:00:00,2021-01-12 17:15:00,0.29587,0.29794,0.29449,15m,sl,-0.47,True
21,support_and_resistant,2021-01-13 17:15:00,2021-01-13 17:30:00,0.29245,0.2945,0.29109,15m,tp,0.7,True
22,support_and_resistant,2021-01-13 17:45:00,2021-01-13 18:00:00,0.29384,0.2959,0.29247,15m,tp,0.7,True
23,support_and_resistant,2021-01-14 14:00:00,2021-01-14 14:15:00,0.3192,0.32143,0.31771,15m,sl,-0.47,True
24,support_and_resistant,2021-01-14 14:30:00,2021-01-14 16:00:00,0.31697,0.31919,0.31549,15m,tp,0.7,True
25,support_and_resistant,2021-01-16 10:00:00,2021-01-16 10:15:00,0.33866,0.34103,0.33708,15m,sl,-0.47,True
26,support_and_resistant,2021-01-20 23:15:00,2021-01-20 23:45:00,0.37336,0.37597,0.37162,15m,tp,0.7,True
27,support_and_resistant,2021-01-22 10:15:00,2021-01-22 10:30:00,0.3237,0.32597,0.32219,15m,tp,0.7,True
