,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,nwe,2021-01-04 07:30:00,2021-01-04 09:30:00,0.21657,0.19913,0.2282013427552155,30m,tp,8.05,False
1,nwe,2021-01-07 02:00:00,2021-01-07 18:30:00,0.33245,0.30053,0.3537249366644021,30m,tp,9.6,False
2,nwe,2021-01-08 03:30:00,2021-01-08 07:00:00,0.28236,0.30718,0.26580189281972244,30m,tp,8.79,True
3,nwe,2021-01-11 08:00:00,2021-01-11 13:30:00,0.27516,0.29749,0.2602722585750061,30m,sl,-5.41,True
4,nwe,2021-01-17 02:30:00,2021-01-17 22:00:00,0.37496,0.34892,0.3923044379214976,30m,sl,-4.63,False
5,nwe,2021-01-21 21:30:00,2021-01-21 22:00:00,0.32821,0.31196,0.3390513521493693,30m,tp,4.95,False
6,nwe,2021-01-22 01:30:00,2021-01-22 11:00:00,0.30908,0.33453,0.29211786211574253,30m,tp,8.23,True
7,nwe,2021-01-30 18:00:00,2021-01-31 00:00:00,0.35902,0.34308,0.36965497183488494,30m,sl,-2.96,False
8,nwe,2021-02-06 21:30:00,2021-02-06 23:00:00,0.655,0.61079,0.6844744705046882,30m,tp,6.75,False
9,nwe,2021-02-07 11:30:00,2021-02-07 14:00:00,0.67709,0.6321,0.7070582764805313,30m,tp,6.64,False
10,nwe,2021-02-07 17:30:00,2021-02-08 12:00:00,0.63237,0.69109,0.5932202680980279,30m,tp,9.29,True
11,nwe,2021-02-10 13:00:00,2021-02-10 13:30:00,0.8053,0.73657,0.8511501898972929,30m,sl,-5.69,False
12,nwe,2021-02-11 01:00:00,2021-02-11 16:00:00,0.90783,0.8343,0.9568134194122152,30m,sl,-5.4,False
13,nwe,2021-02-11 18:00:00,2021-02-11 21:00:00,0.95866,0.90776,0.9925780449629474,30m,tp,5.31,False
14,nwe,2021-02-15 03:30:00,2021-02-15 13:00:00,0.80493,0.87206,0.7601678102797693,30m,tp,8.34,True
15,nwe,2021-02-20 01:00:00,2021-02-20 01:30:00,0.98073,1.01383,0.9586948088931593,30m,tp,3.38,True
16,nwe,2021-02-20 02:00:00,2021-02-20 13:30:00,1.05046,1.10466,1.0143441209333872,30m,tp,5.16,True
