,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,nwe,2021-01-01 19:15:00,2021-01-01 19:40:00,0.17321,0.17494,0.17206,5m,tp,1.0,True,
1,nwe,2021-01-02 13:10:00,2021-01-02 13:15:00,0.17861,0.17682,0.1798,5m,sl,-0.67,False,
2,nwe,2021-01-02 13:45:00,2021-01-02 13:55:00,0.18118,0.17937,0.18239,5m,tp,1.0,False,
3,nwe,2021-01-02 14:00:00,2021-01-02 14:15:00,0.17931,0.17752,0.18051,5m,tp,1.0,False,
4,nwe,2021-01-02 17:10:00,2021-01-02 17:25:00,0.18275,0.18092,0.18397,5m,tp,1.0,False,
5,nwe,2021-01-04 04:30:00,2021-01-04 04:40:00,0.22705,0.22478,0.22856,5m,tp,1.0,False,
6,nwe,2021-01-04 06:20:00,2021-01-04 06:35:00,0.23728,0.23491,0.23886,5m,sl,-0.67,False,
7,nwe,2021-01-04 06:40:00,2021-01-04 06:50:00,0.23642,0.23406,0.238,5m,tp,1.0,False,
8,nwe,2021-01-04 06:55:00,2021-01-04 07:05:00,0.22827,0.22599,0.22979,5m,tp,1.0,False,
9,nwe,2021-01-04 07:35:00,2021-01-04 07:40:00,0.21759,0.21977,0.21614,5m,sl,-0.67,True,
10,nwe,2021-01-04 07:55:00,2021-01-04 08:00:00,0.21657,0.21874,0.21513,5m,tp,1.0,True,
11,nwe,2021-01-04 09:45:00,2021-01-04 09:50:00,0.20696,0.20903,0.20558,5m,sl,-0.67,True,
12,nwe,2021-01-04 09:55:00,2021-01-04 10:00:00,0.20755,0.20963,0.20617,5m,tp,1.0,True,
13,nwe,2021-01-04 10:25:00,2021-01-04 10:30:00,0.19935,0.20134,0.19802,5m,tp,1.0,True,
14,nwe,2021-01-04 10:35:00,2021-01-04 10:40:00,0.20214,0.20416,0.20079,5m,tp,1.0,True,
15,nwe,2021-01-05 00:15:00,2021-01-05 00:25:00,0.22798,0.2257,0.2295,5m,sl,-0.67,False,
16,nwe,2021-01-06 13:00:00,2021-01-06 13:05:00,0.32034,0.31714,0.32248,5m,tp,1.0,False,
17,nwe,2021-01-06 13:15:00,2021-01-06 13:20:00,0.30727,0.3042,0.30932,5m,tp,1.0,False,
18,nwe,2021-01-06 23:15:00,2021-01-06 23:20:00,0.32719,0.32392,0.32937,5m,sl,-0.67,False,
19,nwe,2021-01-07 18:55:00,2021-01-07 19:00:00,0.2993,0.30229,0.2973,5m,sl,-0.67,True,
20,nwe,2021-01-07 19:05:00,2021-01-07 19:10:00,0.29441,0.29735,0.29245,5m,tp,1.0,True,
21,nwe,2021-01-08 02:45:00,2021-01-08 02:50:00,0.27594,0.2787,0.2741,5m,tp,1.0,True,
22,nwe,2021-01-08 02:55:00,2021-01-08 03:00:00,0.27807,0.28085,0.27622,5m,tp,1.0,True,
23,nwe,2021-01-08 08:10:00,2021-01-08 08:15:00,0.308,0.30492,0.31005,5m,sl,-0.67,False,
24,nwe,2021-01-10 11:35:00,2021-01-10 11:40:00,0.31275,0.31588,0.31066,5m,sl,-0.67,True,
25,nwe,2021-01-10 20:35:00,2021-01-10 20:40:00,0.29081,0.29372,0.28887,5m,tp,1.0,True,
26,nwe,2021-01-11 03:50:00,2021-01-11 03:55:00,0.2773,0.28007,0.27545,5m,tp,1.0,True,
27,nwe,2021-01-11 16:50:00,2021-01-11 16:55:00,0.23906,0.24145,0.23747,5m,tp,1.0,True,
28,nwe,2021-01-11 17:00:00,2021-01-11 17:10:00,0.23827,0.24065,0.23668,5m,sl,-0.67,True,
29,nwe,2021-01-14 21:25:00,2021-01-14 21:35:00,0.30129,0.3043,0.29928,5m,tp,1.0,True,
30,nwe,2021-01-15 01:40:00,2021-01-15 01:45:00,0.32616,0.3229,0.32833,5m,tp,1.0,False,
31,nwe,2021-01-15 16:15:00,2021-01-15 16:20:00,0.29355,0.29649,0.29159,5m,tp,1.0,True,
32,nwe,2021-01-15 16:25:00,2021-01-15 16:30:00,0.30079,0.3038,0.29878,5m,tp,1.0,True,
33,nwe,2021-01-16 12:20:00,2021-01-16 12:25:00,0.35368,0.35014,0.35604,5m,tp,1.0,False,
34,nwe,2021-01-16 13:35:00,2021-01-16 14:25:00,0.35336,0.34983,0.35572,5m,tp,1.0,False,
35,nwe,2021-01-17 00:30:00,2021-01-17 00:35:00,0.35622,0.35978,0.35385,5m,tp,1.0,True,
36,nwe,2021-01-17 01:35:00,2021-01-17 02:00:00,0.382,0.37818,0.38455,5m,tp,1.0,False,
37,nwe,2021-01-19 08:50:00,2021-01-19 09:30:00,0.37916,0.37537,0.38169,5m,tp,1.0,False,
38,nwe,2021-01-19 16:35:00,2021-01-19 18:10:00,0.37961,0.37581,0.38214,5m,tp,1.0,False,
39,nwe,2021-01-19 19:55:00,2021-01-19 20:25:00,0.36787,0.37155,0.36542,5m,tp,1.0,True,
40,nwe,2021-01-20 12:15:00,2021-01-20 12:25:00,0.33863,0.34202,0.33637,5m,tp,1.0,True,
41,nwe,2021-01-21 21:35:00,2021-01-21 22:00:00,0.33132,0.32801,0.33353,5m,tp,1.0,False,
42,nwe,2021-01-21 22:40:00,2021-01-21 22:45:00,0.30809,0.31117,0.30604,5m,tp,1.0,True,
43,nwe,2021-01-21 22:50:00,2021-01-21 23:00:00,0.31159,0.31471,0.30951,5m,tp,1.0,True,
44,nwe,2021-01-22 00:35:00,2021-01-22 00:40:00,0.28737,0.29024,0.28545,5m,tp,1.0,True,
45,nwe,2021-01-22 00:45:00,2021-01-22 00:50:00,0.29239,0.29531,0.29044,5m,sl,-0.67,True,
46,nwe,2021-01-22 00:55:00,2021-01-22 01:00:00,0.28522,0.28807,0.28332,5m,tp,1.0,True,
47,nwe,2021-01-22 01:05:00,2021-01-22 01:10:00,0.29239,0.29531,0.29044,5m,sl,-0.67,True,
48,nwe,2021-01-22 01:15:00,2021-01-22 01:20:00,0.28679,0.28966,0.28488,5m,tp,1.0,True,
49,nwe,2021-01-22 01:25:00,2021-01-22 01:40:00,0.30061,0.30362,0.29861,5m,tp,1.0,True,
50,nwe,2021-01-24 11:45:00,2021-01-24 12:05:00,0.36655,0.36288,0.36899,5m,tp,1.0,False,
51,nwe,2021-01-24 19:40:00,2021-01-24 20:05:00,0.34033,0.34373,0.33806,5m,tp,1.0,True,
52,nwe,2021-01-26 15:00:00,2021-01-26 15:25:00,0.33009,0.33339,0.32789,5m,tp,1.0,True,
53,nwe,2021-01-27 14:55:00,2021-01-27 15:00:00,0.30724,0.31031,0.30519,5m,tp,1.0,True,
54,nwe,2021-01-27 15:05:00,2021-01-27 15:35:00,0.31141,0.31452,0.30933,5m,tp,1.0,True,
55,nwe,2021-01-28 12:00:00,2021-01-28 12:10:00,0.33627,0.33963,0.33403,5m,tp,1.0,True,
56,nwe,2021-01-29 04:30:00,2021-01-29 04:45:00,0.33446,0.3378,0.33223,5m,tp,1.0,True,
57,nwe,2021-01-29 04:50:00,2021-01-29 05:00:00,0.34529,0.34874,0.34299,5m,tp,1.0,True,
58,nwe,2021-01-29 06:00:00,2021-01-29 06:15:00,0.35223,0.34871,0.35458,5m,tp,1.0,False,
59,nwe,2021-01-29 07:45:00,2021-01-29 08:25:00,0.34379,0.34723,0.3415,5m,sl,-0.67,True,
60,nwe,2021-01-29 08:35:00,2021-01-29 08:40:00,0.34804,0.35152,0.34572,5m,tp,1.0,True,
61,nwe,2021-01-29 08:45:00,2021-01-29 08:55:00,0.35555,0.35911,0.35318,5m,tp,1.0,True,
62,nwe,2021-01-30 16:20:00,2021-01-30 16:25:00,0.35461,0.35816,0.35225,5m,tp,1.0,True,
63,nwe,2021-01-30 17:00:00,2021-01-30 17:05:00,0.36827,0.36459,0.37073,5m,tp,1.0,False,
64,nwe,2021-01-30 17:10:00,2021-01-30 17:30:00,0.36444,0.3608,0.36687,5m,tp,1.0,False,
65,nwe,2021-02-01 00:45:00,2021-02-01 01:10:00,0.33617,0.33953,0.33393,5m,tp,1.0,True,
66,nwe,2021-02-01 22:40:00,2021-02-01 22:45:00,0.39559,0.39163,0.39823,5m,tp,1.0,False,
67,nwe,2021-02-02 00:25:00,2021-02-02 00:30:00,0.42288,0.41865,0.4257,5m,tp,1.0,False,
68,nwe,2021-02-02 00:35:00,2021-02-02 00:40:00,0.40876,0.40467,0.41149,5m,tp,1.0,False,
69,nwe,2021-02-02 08:00:00,2021-02-02 08:20:00,0.41647,0.41231,0.41925,5m,sl,-0.67,False,
70,nwe,2021-02-02 13:55:00,2021-02-02 14:00:00,0.44608,0.44162,0.44905,5m,sl,-0.67,False,
71,nwe,2021-02-03 16:25:00,2021-02-03 16:40:00,0.43602,0.43166,0.43893,5m,sl,-0.67,False,
72,nwe,2021-02-04 09:20:00,2021-02-04 09:55:00,0.42234,0.42656,0.41952,5m,tp,1.0,True,
73,nwe,2021-02-05 20:50:00,2021-02-05 21:00:00,0.5507,0.54519,0.55437,5m,tp,1.0,False,
74,nwe,2021-02-05 21:20:00,2021-02-05 21:35:00,0.54989,0.54439,0.55356,5m,tp,1.0,False,
75,nwe,2021-02-06 01:30:00,2021-02-06 01:35:00,0.54954,0.54404,0.5532,5m,tp,1.0,False,
76,nwe,2021-02-06 20:40:00,2021-02-06 20:45:00,0.631,0.62469,0.63521,5m,sl,-0.67,False,
77,nwe,2021-02-07 15:30:00,2021-02-07 15:35:00,0.60426,0.6103,0.60023,5m,tp,1.0,True,
78,nwe,2021-02-07 16:30:00,2021-02-07 16:35:00,0.6007,0.60671,0.5967,5m,sl,-0.67,True,
79,nwe,2021-02-08 12:55:00,2021-02-08 13:05:00,0.68662,0.67975,0.6912,5m,tp,1.0,False,
80,nwe,2021-02-08 13:40:00,2021-02-08 13:45:00,0.67685,0.68362,0.67234,5m,tp,1.0,True,
81,nwe,2021-02-08 17:00:00,2021-02-08 17:05:00,0.70085,0.69384,0.70552,5m,tp,1.0,False,
82,nwe,2021-02-10 12:00:00,2021-02-10 12:05:00,0.88547,0.87662,0.89137,5m,tp,1.0,False,
83,nwe,2021-02-10 12:15:00,2021-02-10 12:25:00,0.86116,0.85255,0.8669,5m,tp,1.0,False,
84,nwe,2021-02-10 12:50:00,2021-02-10 12:55:00,0.82274,0.83097,0.81726,5m,tp,1.0,True,
85,nwe,2021-02-10 15:55:00,2021-02-10 16:10:00,0.81804,0.82622,0.81259,5m,tp,1.0,True,
86,nwe,2021-02-10 23:50:00,2021-02-10 23:55:00,0.92348,0.91425,0.92964,5m,sl,-0.67,False,
87,nwe,2021-02-11 21:30:00,2021-02-11 21:45:00,0.91853,0.92772,0.91241,5m,sl,-0.67,True,
88,nwe,2021-02-11 21:50:00,2021-02-11 22:00:00,0.91559,0.92475,0.90949,5m,tp,1.0,True,
89,nwe,2021-02-12 04:15:00,2021-02-12 04:20:00,0.8855,0.89435,0.8796,5m,sl,-0.67,True,
90,nwe,2021-02-12 14:05:00,2021-02-12 14:25:00,0.93579,0.92643,0.94203,5m,tp,1.0,False,
91,nwe,2021-02-12 14:50:00,2021-02-12 15:00:00,0.90266,0.91169,0.89664,5m,tp,1.0,True,
92,nwe,2021-02-13 11:25:00,2021-02-13 11:30:00,0.87376,0.8825,0.86793,5m,tp,1.0,True,
93,nwe,2021-02-13 12:00:00,2021-02-13 12:05:00,0.863,0.87163,0.85725,5m,tp,1.0,True,
94,nwe,2021-02-14 15:00:00,2021-02-14 15:10:00,0.84099,0.8494,0.83538,5m,sl,-0.67,True,
95,nwe,2021-02-15 02:35:00,2021-02-15 02:40:00,0.7614,0.76901,0.75632,5m,tp,1.0,True,
96,nwe,2021-02-15 02:45:00,2021-02-15 02:50:00,0.78235,0.79017,0.77713,5m,tp,1.0,True,
97,nwe,2021-02-15 02:55:00,2021-02-15 03:00:00,0.7789,0.78669,0.77371,5m,sl,-0.67,True,
98,nwe,2021-02-15 03:15:00,2021-02-15 03:25:00,0.79175,0.79967,0.78647,5m,tp,1.0,True,
99,nwe,2021-02-15 20:55:00,2021-02-15 21:00:00,0.89547,0.88652,0.90144,5m,sl,-0.67,False,
100,nwe,2021-02-15 21:05:00,2021-02-15 21:15:00,0.90777,0.89869,0.91382,5m,tp,1.0,False,
101,nwe,2021-02-15 21:20:00,2021-02-15 21:25:00,0.88633,0.87747,0.89224,5m,tp,1.0,False,
102,nwe,2021-02-15 22:05:00,2021-02-15 22:10:00,0.8375,0.84588,0.83192,5m,tp,1.0,True,
103,nwe,2021-02-15 22:15:00,2021-02-15 22:25:00,0.85547,0.86402,0.84977,5m,sl,-0.67,True,
104,nwe,2021-02-16 00:45:00,2021-02-16 00:55:00,0.86724,0.87591,0.86146,5m,sl,-0.67,True,
105,nwe,2021-02-18 07:10:00,2021-02-18 07:15:00,0.9401,0.9307,0.94637,5m,tp,1.0,False,
106,nwe,2021-02-18 11:50:00,2021-02-18 12:00:00,0.91891,0.9281,0.91278,5m,sl,-0.67,True,
107,nwe,2021-02-18 12:25:00,2021-02-18 12:40:00,0.91616,0.92532,0.91005,5m,tp,1.0,True,
108,nwe,2021-02-20 00:25:00,2021-02-20 01:05:00,0.92358,0.93282,0.91742,5m,tp,1.0,True,
109,nwe,2021-02-20 01:10:00,2021-02-20 01:15:00,0.94166,0.95108,0.93538,5m,tp,1.0,True,
110,nwe,2021-02-20 01:20:00,2021-02-20 01:25:00,0.97569,0.98545,0.96919,5m,tp,1.0,True,
111,nwe,2021-02-20 01:50:00,2021-02-20 01:55:00,1.03294,1.02261,1.03983,5m,sl,-0.67,False,
112,nwe,2021-02-20 02:00:00,2021-02-20 02:05:00,1.05086,1.04035,1.05787,5m,sl,-0.67,False,
113,nwe,2021-02-20 02:10:00,2021-02-20 02:15:00,1.07813,1.06735,1.08532,5m,tp,1.0,False,
114,nwe,2021-02-20 02:20:00,2021-02-20 02:35:00,1.04999,1.03949,1.05699,5m,sl,-0.67,False,
115,nwe,2021-02-20 02:50:00,2021-02-20 03:00:00,1.06025,1.04965,1.06732,5m,sl,-0.67,False,
116,nwe,2021-02-20 03:10:00,2021-02-20 03:30:00,1.04823,1.03775,1.05522,5m,tp,1.0,False,
117,nwe,2021-02-20 13:55:00,2021-02-20 14:00:00,1.12079,1.10958,1.12826,5m,sl,-0.67,False,
118,nwe,2021-02-20 15:55:00,2021-02-20 16:00:00,1.08783,1.09871,1.08058,5m,tp,1.0,True,
119,nwe,2021-02-20 22:35:00,2021-02-20 22:40:00,1.14549,1.13404,1.15313,5m,tp,1.0,False,
120,nwe,2021-02-20 22:55:00,2021-02-20 23:00:00,1.13961,1.15101,1.13201,5m,tp,1.0,True,
121,nwe,2021-02-22 14:25:00,2021-02-22 14:30:00,0.93971,0.94911,0.93345,5m,tp,1.0,True,
122,nwe,2021-02-22 15:15:00,2021-02-22 15:20:00,0.99306,0.98313,0.99968,5m,tp,1.0,False,
123,nwe,2021-02-23 09:10:00,2021-02-23 09:15:00,0.87048,0.87918,0.86468,5m,tp,1.0,True,
124,nwe,2021-02-23 09:20:00,2021-02-23 09:25:00,0.90132,0.91033,0.89531,5m,tp,1.0,True,
125,nwe,2021-02-24 00:35:00,2021-02-24 00:50:00,0.92758,0.93686,0.9214,5m,tp,1.0,True,
126,nwe,2021-02-26 16:35:00,2021-02-26 16:40:00,1.22881,1.21652,1.237,5m,tp,1.0,False,
127,nwe,2021-03-01 16:20:00,2021-03-01 16:25:00,1.33454,1.32119,1.34344,5m,tp,1.0,False,
128,nwe,2021-03-01 16:30:00,2021-03-01 16:45:00,1.31009,1.29699,1.31882,5m,tp,1.0,False,
129,nwe,2021-03-04 11:40:00,2021-03-04 12:45:00,1.16747,1.17914,1.15969,5m,sl,-0.67,True,
130,nwe,2021-03-04 13:20:00,2021-03-04 13:35:00,1.14852,1.16001,1.14086,5m,sl,-0.67,True,
131,nwe,2021-03-04 19:05:00,2021-03-04 19:10:00,1.10843,1.11951,1.10104,5m,tp,1.0,True,
132,nwe,2021-03-05 07:05:00,2021-03-05 07:15:00,1.14045,1.12905,1.14805,5m,tp,1.0,False,
133,nwe,2021-03-06 13:40:00,2021-03-06 13:50:00,1.09777,1.10875,1.09045,5m,tp,1.0,True,
134,nwe,2021-03-08 01:20:00,2021-03-08 01:35:00,1.17529,1.16354,1.18313,5m,tp,1.0,False,
135,nwe,2021-03-08 01:40:00,2021-03-08 02:05:00,1.16184,1.15022,1.16959,5m,tp,1.0,False,
136,nwe,2021-03-09 10:50:00,2021-03-09 10:55:00,1.20143,1.18942,1.20944,5m,tp,1.0,False,
137,nwe,2021-03-09 11:00:00,2021-03-09 11:15:00,1.19542,1.18347,1.20339,5m,tp,1.0,False,
138,nwe,2021-03-09 11:20:00,2021-03-09 11:50:00,1.18,1.1682,1.18787,5m,sl,-0.67,False,
139,nwe,2021-03-09 13:05:00,2021-03-09 13:25:00,1.16903,1.18072,1.16124,5m,tp,1.0,True,
140,nwe,2021-03-09 23:05:00,2021-03-09 23:15:00,1.19379,1.18185,1.20175,5m,tp,1.0,False,
141,nwe,2021-03-10 02:20:00,2021-03-10 03:35:00,1.15811,1.16969,1.15039,5m,sl,-0.67,True,
142,nwe,2021-03-10 21:15:00,2021-03-10 22:00:00,1.1437,1.15514,1.13608,5m,tp,1.0,True,
143,nwe,2021-03-12 07:30:00,2021-03-12 08:45:00,1.08824,1.09912,1.08099,5m,tp,1.0,True,
144,nwe,2021-03-12 13:40:00,2021-03-12 14:15:00,1.04733,1.0578,1.04035,5m,sl,-0.67,True,
145,nwe,2021-03-13 01:25:00,2021-03-13 02:00:00,1.00002,1.01002,0.99335,5m,tp,1.0,True,
146,nwe,2021-03-13 02:10:00,2021-03-13 02:20:00,1.01687,1.02704,1.01009,5m,tp,1.0,True,
147,nwe,2021-03-13 03:20:00,2021-03-13 03:25:00,1.05832,1.04774,1.06538,5m,sl,-0.67,False,
148,nwe,2021-03-13 03:45:00,2021-03-13 04:35:00,1.05331,1.04278,1.06033,5m,sl,-0.67,False,
149,nwe,2021-03-13 10:40:00,2021-03-13 10:45:00,1.12429,1.11305,1.13179,5m,tp,1.0,False,
150,nwe,2021-03-13 12:20:00,2021-03-13 12:25:00,1.16214,1.15052,1.16989,5m,sl,-0.67,False,
151,nwe,2021-03-13 12:30:00,2021-03-13 12:40:00,1.18633,1.17447,1.19424,5m,tp,1.0,False,
152,nwe,2021-03-13 12:45:00,2021-03-13 12:55:00,1.15219,1.14067,1.15987,5m,tp,1.0,False,
153,nwe,2021-03-16 16:40:00,2021-03-16 17:00:00,1.08788,1.09876,1.08063,5m,tp,1.0,True,
154,nwe,2021-03-16 17:05:00,2021-03-16 17:10:00,1.16341,1.17504,1.15565,5m,tp,1.0,True,
155,nwe,2021-03-16 17:20:00,2021-03-16 17:30:00,1.19557,1.18361,1.20354,5m,sl,-0.67,False,
156,nwe,2021-03-16 17:35:00,2021-03-16 17:40:00,1.24921,1.23672,1.25754,5m,tp,1.0,False,
157,nwe,2021-03-16 17:45:00,2021-03-16 17:50:00,1.19212,1.1802,1.20007,5m,sl,-0.67,False,
158,nwe,2021-03-16 17:55:00,2021-03-16 18:00:00,1.21046,1.19836,1.21853,5m,tp,1.0,False,
159,nwe,2021-03-16 18:05:00,2021-03-16 18:10:00,1.18572,1.17386,1.19362,5m,tp,1.0,False,
160,nwe,2021-03-16 18:15:00,2021-03-16 18:20:00,1.17953,1.16773,1.18739,5m,tp,1.0,False,
161,nwe,2021-03-17 21:25:00,2021-03-17 21:35:00,1.35687,1.3433,1.36592,5m,tp,1.0,False,
162,nwe,2021-03-18 15:25:00,2021-03-18 15:40:00,1.4588,1.44421,1.46853,5m,tp,1.0,False,
163,nwe,2021-03-18 15:45:00,2021-03-18 15:50:00,1.44948,1.43499,1.45914,5m,tp,1.0,False,
164,nwe,2021-03-18 15:55:00,2021-03-18 16:00:00,1.44843,1.43395,1.45809,5m,tp,1.0,False,
165,nwe,2021-03-18 16:10:00,2021-03-18 16:15:00,1.37927,1.36548,1.38847,5m,tp,1.0,False,
166,nwe,2021-03-18 16:20:00,2021-03-18 16:25:00,1.34103,1.35444,1.33209,5m,sl,-0.67,True,
167,nwe,2021-03-18 16:40:00,2021-03-18 16:45:00,1.33911,1.3525,1.33018,5m,tp,1.0,True,
168,nwe,2021-03-18 18:05:00,2021-03-18 18:10:00,1.30897,1.32206,1.30024,5m,sl,-0.67,True,
169,nwe,2021-03-19 00:35:00,2021-03-19 00:45:00,1.21737,1.22954,1.20925,5m,tp,1.0,True,
170,nwe,2021-03-21 00:05:00,2021-03-21 00:30:00,1.21573,1.22789,1.20763,5m,tp,1.0,True,
171,nwe,2021-03-21 12:25:00,2021-03-21 12:35:00,1.16373,1.17537,1.15597,5m,tp,1.0,True,
172,nwe,2021-03-21 12:40:00,2021-03-21 13:00:00,1.17524,1.18699,1.16741,5m,tp,1.0,True,
173,nwe,2021-03-22 20:55:00,2021-03-22 21:00:00,1.10251,1.11354,1.09516,5m,tp,1.0,True,
174,nwe,2021-03-22 21:05:00,2021-03-22 21:15:00,1.12873,1.14002,1.12121,5m,sl,-0.67,True,
175,nwe,2021-03-23 02:00:00,2021-03-23 02:15:00,1.14429,1.13285,1.15192,5m,tp,1.0,False,
176,nwe,2021-03-23 07:10:00,2021-03-23 07:20:00,1.09671,1.10768,1.0894,5m,tp,1.0,True,
177,nwe,2021-03-24 22:35:00,2021-03-24 22:45:00,1.08073,1.09154,1.07353,5m,sl,-0.67,True,
178,nwe,2021-03-25 05:50:00,2021-03-25 06:20:00,1.12843,1.11715,1.13595,5m,tp,1.0,False,
179,nwe,2021-03-25 08:10:00,2021-03-25 09:00:00,1.09419,1.10513,1.0869,5m,tp,1.0,True,
180,nwe,2021-03-26 11:45:00,2021-03-26 11:50:00,1.25857,1.24598,1.26696,5m,sl,-0.67,False,
181,nwe,2021-03-26 11:55:00,2021-03-26 12:00:00,1.25966,1.24706,1.26806,5m,tp,1.0,False,
182,nwe,2021-03-26 12:05:00,2021-03-26 12:20:00,1.23292,1.22059,1.24114,5m,tp,1.0,False,
183,nwe,2021-03-27 06:55:00,2021-03-27 07:30:00,1.20244,1.19042,1.21046,5m,tp,1.0,False,
184,nwe,2021-03-28 08:20:00,2021-03-28 09:00:00,1.2017,1.18968,1.20971,5m,sl,-0.67,False,
185,nwe,2021-03-29 06:10:00,2021-03-29 06:35:00,1.18687,1.19874,1.17896,5m,tp,1.0,True,
186,nwe,2021-03-29 09:50:00,2021-03-29 10:30:00,1.2272,1.21493,1.23538,5m,tp,1.0,False,
187,nwe,2021-03-30 10:30:00,2021-03-30 13:45:00,1.2272,1.21493,1.23538,5m,tp,1.0,False,
188,nwe,2021-03-31 08:20:00,2021-03-31 09:25:00,1.17616,1.18792,1.16832,5m,tp,1.0,True,
189,nwe,2021-03-31 10:35:00,2021-03-31 11:25:00,1.17008,1.18178,1.16228,5m,tp,1.0,True,
190,nwe,2021-04-01 18:30:00,2021-04-02 06:55:00,1.18879,1.20068,1.18086,5m,tp,1.0,True,
191,nwe,2021-04-02 07:45:00,2021-04-02 07:50:00,1.23862,1.22623,1.24688,5m,tp,1.0,False,
192,nwe,2021-04-02 07:55:00,2021-04-02 08:00:00,1.22558,1.21332,1.23375,5m,sl,-0.67,False,
193,nwe,2021-04-02 08:05:00,2021-04-02 08:15:00,1.23111,1.2188,1.23932,5m,tp,1.0,False,
194,nwe,2021-04-02 08:20:00,2021-04-02 12:05:00,1.2168,1.20463,1.22491,5m,tp,1.0,False,
195,nwe,2021-04-03 01:10:00,2021-04-03 01:35:00,1.21557,1.20341,1.22367,5m,sl,-0.67,False,
196,nwe,2021-04-03 01:50:00,2021-04-03 03:05:00,1.22289,1.21066,1.23104,5m,sl,-0.67,False,
197,nwe,2021-04-03 07:40:00,2021-04-03 08:40:00,1.22964,1.21734,1.23784,5m,tp,1.0,False,
198,nwe,2021-04-03 18:15:00,2021-04-03 20:45:00,1.19195,1.20387,1.184,5m,sl,-0.67,True,
199,nwe,2021-04-06 11:25:00,2021-04-06 12:30:00,1.19923,1.21122,1.19124,5m,tp,1.0,True,
200,nwe,2021-04-06 12:35:00,2021-04-06 12:40:00,1.21329,1.22542,1.2052,5m,tp,1.0,True,
201,nwe,2021-04-06 12:45:00,2021-04-06 12:50:00,1.26939,1.28208,1.26093,5m,tp,1.0,True,
202,nwe,2021-04-06 13:00:00,2021-04-06 13:05:00,1.31524,1.30209,1.32401,5m,tp,1.0,False,
203,nwe,2021-04-06 13:10:00,2021-04-06 13:15:00,1.30307,1.29004,1.31176,5m,tp,1.0,False,
204,nwe,2021-04-06 13:20:00,2021-04-06 13:30:00,1.29097,1.27806,1.29958,5m,sl,-0.67,False,
205,nwe,2021-04-06 13:35:00,2021-04-06 13:40:00,1.32036,1.30716,1.32916,5m,sl,-0.67,False,
206,nwe,2021-04-06 13:45:00,2021-04-06 13:50:00,1.32002,1.30682,1.32882,5m,tp,1.0,False,
207,nwe,2021-04-06 13:55:00,2021-04-06 14:00:00,1.29908,1.28609,1.30774,5m,tp,1.0,False,
