,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,vwaps,2021-01-01 01:50:00,2021-01-01 04:35:00,0.18357,0.18586,0.18204621097337853,5m,sl,-0.83,True
1,vwaps,2021-01-01 14:45:00,2021-01-01 15:05:00,0.18296,0.18458,0.18188433467015486,5m,sl,-0.59,True
2,vwaps,2021-01-02 02:35:00,2021-01-02 03:10:00,0.17443,0.17618,0.17326671986290182,5m,tp,1.0,True
3,vwaps,2021-01-02 03:15:00,2021-01-02 04:10:00,0.17545,0.17721,0.1742753510336095,5m,sl,-0.67,True
4,vwaps,2021-01-02 12:40:00,2021-01-02 12:50:00,0.17326,0.17524,0.17193631036534246,5m,tp,1.14,True
5,vwaps,2021-01-02 12:55:00,2021-01-02 13:35:00,0.17958,0.18225,0.17779786766496256,5m,tp,1.49,True
6,vwaps,2021-01-02 13:40:00,2021-01-02 14:05:00,0.18139,0.18482,0.1791108122095436,5m,sl,-1.26,True
7,vwaps,2021-01-02 14:10:00,2021-01-02 16:55:00,0.17791,0.18117,0.17574223110432494,5m,tp,1.83,True
8,vwaps,2021-01-02 17:10:00,2021-01-02 20:20:00,0.18275,0.18563,0.18083597066010823,5m,sl,-1.05,True
9,vwaps,2021-01-03 08:55:00,2021-01-03 09:00:00,0.17655,0.17854,0.1752184979620823,5m,tp,1.13,True
10,vwaps,2021-01-03 09:05:00,2021-01-03 09:15:00,0.1813,0.18405,0.17946130691628517,5m,sl,-1.01,True
11,vwaps,2021-01-03 09:20:00,2021-01-03 09:25:00,0.18115,0.18422,0.17910397459733177,5m,sl,-1.13,True
12,vwaps,2021-01-03 09:30:00,2021-01-03 10:05:00,0.17941,0.18275,0.1771884015660666,5m,tp,1.86,True
13,vwaps,2021-01-03 10:10:00,2021-01-03 10:50:00,0.18206,0.18536,0.17985998272936773,5m,tp,1.81,True
14,vwaps,2021-01-03 10:55:00,2021-01-03 11:05:00,0.18627,0.1901,0.18371089116739026,5m,tp,2.06,True
15,vwaps,2021-01-03 11:10:00,2021-01-03 13:30:00,0.19121,0.19591,0.1880832262735992,5m,tp,2.46,True
16,vwaps,2021-01-03 13:35:00,2021-01-03 13:45:00,0.199,0.20351,0.19599842300182435,5m,tp,2.27,True
17,vwaps,2021-01-03 13:50:00,2021-01-03 14:45:00,0.20034,0.20566,0.19679037913083378,5m,sl,-1.77,True
18,vwaps,2021-01-03 20:15:00,2021-01-03 21:35:00,0.1967,0.20036,0.19426918487905778,5m,tp,1.86,True
19,vwaps,2021-01-03 21:40:00,2021-01-03 22:05:00,0.19994,0.203,0.19789856437201506,5m,sl,-1.02,True
20,vwaps,2021-01-03 23:10:00,2021-01-04 00:05:00,0.20689,0.2113,0.20395474816449852,5m,tp,2.13,True
21,vwaps,2021-01-04 00:10:00,2021-01-04 00:15:00,0.20914,0.21519,0.2051081459817574,5m,tp,2.89,True
22,vwaps,2021-01-04 00:20:00,2021-01-04 01:00:00,0.21763,0.22455,0.21302342689243361,5m,sl,-2.12,True
23,vwaps,2021-01-04 01:05:00,2021-01-04 03:30:00,0.21417,0.22121,0.2094783208969467,5m,tp,3.29,True
24,vwaps,2021-01-04 03:35:00,2021-01-04 04:00:00,0.22086,0.2251,0.21802453791210444,5m,tp,1.92,True
25,vwaps,2021-01-04 04:05:00,2021-01-04 06:00:00,0.22746,0.23234,0.22420295490784373,5m,tp,2.15,True
26,vwaps,2021-01-04 06:05:00,2021-01-04 06:50:00,0.23486,0.24074,0.2309416399289165,5m,sl,-1.67,True
27,vwaps,2021-01-04 14:30:00,2021-01-04 16:15:00,0.21532,0.22055,0.21182260998716904,5m,sl,-1.62,True
28,vwaps,2021-01-04 19:10:00,2021-01-04 19:35:00,0.21188,0.21553,0.20944154091189565,5m,tp,1.72,True
29,vwaps,2021-01-04 19:40:00,2021-01-04 20:55:00,0.21591,0.21954,0.21348738125993488,5m,sl,-1.12,True
