,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,nwe,2021-01-04 06:45:00,2021-01-04 07:15:00,42.0266,41.18607,42.58695,15m,tp,2.0,False,
1,nwe,2021-01-04 07:45:00,2021-01-04 09:30:00,40.7716,39.95617,41.31522,15m,tp,2.0,False,
2,nwe,2021-01-04 11:45:00,2021-01-04 12:30:00,39.0528,39.83386,38.5321,15m,tp,2.0,True,
3,nwe,2021-01-08 03:15:00,2021-01-08 07:45:00,41.6562,42.48932,41.10078,15m,tp,2.0,True,
4,nwe,2021-01-10 21:00:00,2021-01-11 01:30:00,41.9354,42.77411,41.37626,15m,sl,-1.33,True,
5,nwe,2021-01-11 04:15:00,2021-01-11 04:45:00,38.9807,39.76031,38.46096,15m,tp,2.0,True,
6,nwe,2021-01-11 06:45:00,2021-01-11 07:30:00,38.0,38.76,37.49333,15m,tp,2.0,True,
7,nwe,2021-01-11 07:45:00,2021-01-11 08:45:00,39.242,40.02684,38.71877,15m,tp,2.0,True,
8,nwe,2021-01-11 10:45:00,2021-01-11 11:45:00,39.4639,38.67462,39.99009,15m,tp,2.0,False,
9,nwe,2021-01-11 16:45:00,2021-01-11 17:15:00,35.8756,36.59311,35.39726,15m,tp,2.0,True,
10,nwe,2021-01-11 17:30:00,2021-01-11 18:30:00,36.9532,37.69226,36.46049,15m,tp,2.0,True,
11,nwe,2021-01-16 14:00:00,2021-01-16 17:30:00,43.3401,42.4733,43.91797,15m,tp,2.0,False,
12,nwe,2021-01-19 14:00:00,2021-01-19 14:45:00,45.6671,44.75376,46.27599,15m,tp,2.0,False,
13,nwe,2021-01-21 20:45:00,2021-01-21 22:00:00,40.1632,39.35994,40.69871,15m,tp,2.0,False,
14,nwe,2021-01-22 01:00:00,2021-01-22 01:30:00,37.1007,37.84271,36.60602,15m,tp,2.0,True,
15,nwe,2021-01-22 01:45:00,2021-01-22 02:45:00,38.1862,38.94992,37.67705,15m,tp,2.0,True,
16,nwe,2021-02-01 06:30:00,2021-02-01 09:00:00,45.6549,44.7418,46.26363,15m,sl,-1.33,False,
17,nwe,2021-02-05 23:00:00,2021-02-05 23:15:00,67.5363,66.18557,68.43678,15m,sl,-1.33,False,
18,nwe,2021-02-05 23:45:00,2021-02-06 00:00:00,67.7005,66.34649,68.60317,15m,tp,2.0,False,
19,nwe,2021-02-06 00:15:00,2021-02-06 00:30:00,65.8722,64.55476,66.7505,15m,tp,2.0,False,
20,nwe,2021-02-06 02:15:00,2021-02-06 06:00:00,65.1714,66.47483,64.30245,15m,tp,2.0,True,
21,nwe,2021-02-06 07:45:00,2021-02-06 08:30:00,70.4045,68.99641,71.34323,15m,sl,-1.33,False,
22,nwe,2021-02-06 09:15:00,2021-02-06 09:30:00,73.4473,71.97835,74.4266,15m,sl,-1.33,False,
23,nwe,2021-02-06 09:45:00,2021-02-06 10:45:00,74.1501,72.6671,75.13877,15m,tp,2.0,False,
24,nwe,2021-02-06 11:00:00,2021-02-06 11:30:00,71.9628,70.52354,72.9223,15m,sl,-1.33,False,
25,nwe,2021-02-09 17:30:00,2021-02-09 18:00:00,106.8525,104.71545,108.2772,15m,sl,-1.33,False,
26,nwe,2021-02-10 04:45:00,2021-02-10 05:00:00,119.6121,122.00434,118.01727,15m,tp,2.0,True,
27,nwe,2021-02-10 08:30:00,2021-02-10 08:45:00,144.7618,141.86656,146.69196,15m,sl,-1.33,False,
