,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,support_and_resistant,2021-01-03 21:30:00,2021-01-03 23:00:00,40.6913,41.26098,40.31151,30m,tp,1.4,True
1,support_and_resistant,2021-01-04 00:30:00,2021-01-04 03:30:00,41.6737,42.25713,41.28475,30m,sl,-0.93,True
2,support_and_resistant,2021-01-05 23:00:00,2021-01-06 00:00:00,41.393,41.9725,41.00667,30m,sl,-0.93,True
3,support_and_resistant,2021-01-06 11:30:00,2021-01-06 13:00:00,41.5103,42.09144,41.12287,30m,tp,1.4,True
4,support_and_resistant,2021-01-07 06:00:00,2021-01-07 06:30:00,43.4002,44.0078,42.99513,30m,tp,1.4,True
5,support_and_resistant,2021-01-09 19:00:00,2021-01-10 00:00:00,43.8393,44.45305,43.43013,30m,tp,1.4,True
6,support_and_resistant,2021-01-14 08:00:00,2021-01-14 11:00:00,40.5539,41.12165,40.1754,30m,tp,1.4,True
7,support_and_resistant,2021-01-23 05:30:00,2021-01-23 08:00:00,41.0675,41.64244,40.6842,30m,tp,1.4,True
8,support_and_resistant,2021-01-25 00:00:00,2021-01-25 07:00:00,42.4465,43.04075,42.05033,30m,sl,-0.93,True
9,support_and_resistant,2021-01-28 12:00:00,2021-01-28 20:30:00,42.1739,42.76433,41.78028,30m,tp,1.4,True
10,support_and_resistant,2021-01-30 09:30:00,2021-01-30 12:00:00,43.6504,44.26151,43.243,30m,tp,1.4,True
11,support_and_resistant,2021-01-30 21:30:00,2021-01-31 00:30:00,44.6673,45.29264,44.25041,30m,tp,1.4,True
12,support_and_resistant,2021-02-01 21:00:00,2021-02-01 21:30:00,50.0494,50.75009,49.58227,30m,tp,1.4,True
13,support_and_resistant,2021-02-01 22:30:00,2021-02-01 23:00:00,51.9459,52.67314,51.46107,30m,sl,-0.93,True
14,support_and_resistant,2021-02-02 09:30:00,2021-02-02 10:30:00,51.3569,52.0759,50.87757,30m,tp,1.4,True
15,support_and_resistant,2021-02-03 18:30:00,2021-02-03 22:30:00,51.5099,52.23104,51.02914,30m,tp,1.4,True
16,support_and_resistant,2021-02-04 17:30:00,2021-02-04 18:30:00,54.2655,55.02522,53.75902,30m,tp,1.4,True
17,support_and_resistant,2021-02-05 07:30:00,2021-02-05 08:00:00,57.7949,58.60403,57.25548,30m,sl,-0.93,True
18,support_and_resistant,2021-02-06 07:00:00,2021-02-06 08:00:00,69.8798,70.85812,69.22759,30m,tp,1.4,True
19,support_and_resistant,2021-02-08 13:30:00,2021-02-08 14:00:00,72.7703,73.78908,72.09111,30m,tp,1.4,True
20,support_and_resistant,2021-02-08 15:00:00,2021-02-08 19:00:00,74.3024,75.34263,73.60891,30m,tp,1.4,True
21,support_and_resistant,2021-02-08 20:30:00,2021-02-08 21:30:00,76.2796,77.34751,75.56766,30m,tp,1.4,True
22,support_and_resistant,2021-02-09 13:00:00,2021-02-09 13:30:00,96.0887,97.43394,95.19187,30m,tp,1.4,True
23,support_and_resistant,2021-02-09 14:30:00,2021-02-09 15:00:00,98.2395,99.61485,97.3226,30m,tp,1.4,True
24,support_and_resistant,2021-02-09 22:30:00,2021-02-09 23:00:00,111.1075,112.663,110.0705,30m,sl,-0.93,True
25,support_and_resistant,2021-02-12 10:00:00,2021-02-12 11:00:00,126.9123,128.68907,125.72779,30m,tp,1.4,True
26,support_and_resistant,2021-02-12 18:30:00,2021-02-12 20:00:00,134.8442,136.73202,133.58565,30m,tp,1.4,True
27,support_and_resistant,2021-02-18 07:30:00,2021-02-18 08:00:00,180.0239,182.54423,178.34368,30m,tp,1.4,True
28,support_and_resistant,2021-02-18 14:30:00,2021-02-18 16:00:00,196.2676,199.01535,194.43577,30m,tp,1.4,True
29,support_and_resistant,2021-02-18 19:00:00,2021-02-18 20:00:00,194.0831,196.80026,192.27166,30m,tp,1.4,True
30,support_and_resistant,2021-02-19 01:30:00,2021-02-19 02:00:00,216.0743,219.09934,214.05761,30m,sl,-0.93,True
31,support_and_resistant,2021-02-19 11:30:00,2021-02-19 12:30:00,265.2304,268.94363,262.75492,30m,tp,1.4,True
32,support_and_resistant,2021-02-19 21:00:00,2021-02-19 21:30:00,320.5048,324.99187,317.51342,30m,tp,1.4,True
33,support_and_resistant,2021-02-24 10:00:00,2021-02-24 10:30:00,265.6016,269.32002,263.12265,30m,tp,1.4,True
34,support_and_resistant,2021-03-01 09:00:00,2021-03-01 09:30:00,235.5406,238.83817,233.34222,30m,tp,1.4,True
