,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,nwe,2021-01-01 10:30:00,2021-01-01 10:50:00,38.4417,38.03806,38.70997529566367,5m,sl,-0.7,False
1,nwe,2021-01-02 17:20:00,2021-01-02 17:45:00,38.7747,38.37338,39.04231144974383,5m,tp,1.04,False
2,nwe,2021-01-03 14:20:00,2021-01-03 14:45:00,41.3725,40.55332,41.91795818865933,5m,tp,1.98,False
3,nwe,2021-01-04 06:35:00,2021-01-04 06:50:00,42.9754,42.43391,43.33850183207238,5m,tp,1.26,False
4,nwe,2021-01-04 06:55:00,2021-01-04 07:15:00,42.0266,41.3899,42.45122088129475,5m,tp,1.51,False
5,nwe,2021-01-04 10:30:00,2021-01-04 11:10:00,39.4341,40.5698,38.676037683021,5m,sl,-1.92,True
6,nwe,2021-01-04 11:25:00,2021-01-04 12:30:00,38.6186,39.56862,37.98663463846597,5m,tp,2.46,True
7,nwe,2021-01-05 06:05:00,2021-01-05 08:00:00,39.2018,39.85451,38.76520203011227,5m,tp,1.67,True
8,nwe,2021-01-07 06:45:00,2021-01-07 07:45:00,43.7291,43.09284,44.15268725421232,5m,tp,1.46,False
9,nwe,2021-01-07 08:35:00,2021-01-07 10:00:00,43.0426,43.80445,42.53618768586151,5m,tp,1.77,True
10,nwe,2021-01-07 18:50:00,2021-01-07 19:35:00,42.159,43.08228,41.54259676178316,5m,tp,2.19,True
11,nwe,2021-01-08 02:45:00,2021-01-08 07:40:00,41.2427,42.2882,40.547416977526765,5m,tp,2.53,True
12,nwe,2021-01-10 20:40:00,2021-01-11 02:05:00,41.6643,42.75174,40.940962130497894,5m,sl,-1.74,True
13,nwe,2021-01-11 03:50:00,2021-01-11 06:45:00,39.2768,40.72022,38.316023317849265,5m,sl,-2.45,True
14,nwe,2021-01-11 07:00:00,2021-01-11 08:05:00,38.5959,39.77115,37.81271715989261,5m,tp,3.05,True
15,nwe,2021-01-11 14:25:00,2021-01-11 15:40:00,37.5567,38.6496,36.82907949932211,5m,sl,-1.94,True
16,nwe,2021-01-11 16:55:00,2021-01-11 17:35:00,35.8756,37.18865,35.001239014917836,5m,tp,3.66,True
17,nwe,2021-01-14 00:40:00,2021-01-14 01:10:00,40.7772,40.20836,41.157451762407185,5m,tp,1.39,False
18,nwe,2021-01-14 21:30:00,2021-01-14 22:50:00,40.7575,41.15489,40.49246984366611,5m,tp,0.98,True
19,nwe,2021-01-15 16:15:00,2021-01-15 16:45:00,39.4224,40.35671,38.799743540227205,5m,tp,2.37,True
20,nwe,2021-01-16 13:40:00,2021-01-16 14:25:00,43.5826,43.02692,43.953291787281294,5m,tp,1.28,False
21,nwe,2021-01-18 11:20:00,2021-01-18 12:05:00,44.7069,45.19644,44.38015982053852,5m,tp,1.09,True
22,nwe,2021-01-19 13:40:00,2021-01-19 14:05:00,46.8305,46.24044,47.225059601238584,5m,tp,1.26,False
23,nwe,2021-01-19 14:10:00,2021-01-19 14:20:00,45.6671,44.86564,46.20216951082308,5m,tp,1.76,False
24,nwe,2021-01-19 19:10:00,2021-01-19 19:40:00,42.5035,43.16655,42.06294059729201,5m,sl,-1.04,True
25,nwe,2021-01-19 19:55:00,2021-01-19 23:45:00,42.5286,43.28136,42.02539226594275,5m,tp,1.77,True
26,nwe,2021-01-20 16:15:00,2021-01-20 16:40:00,41.3797,42.04384,40.93685918658119,5m,tp,1.6,True
27,nwe,2021-01-21 12:20:00,2021-01-21 13:05:00,39.5572,40.22769,39.11143951052334,5m,tp,1.69,True
28,nwe,2021-01-22 00:40:00,2021-01-22 01:15:00,37.7386,38.85378,36.99390745437183,5m,sl,-1.97,True
