,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,vwaps,2021-01-01 01:40:00,2021-01-01 01:45:00,37.899,38.22872,37.67906339613193,5m,sl,-0.58,True
1,vwaps,2021-01-01 01:50:00,2021-01-01 03:00:00,37.6184,37.98518,37.375697320151126,5m,tp,0.98,True
2,vwaps,2021-01-01 03:05:00,2021-01-01 06:25:00,37.8382,38.11064,37.65605583438412,5m,sl,-0.48,True
3,vwaps,2021-01-01 10:10:00,2021-01-01 10:55:00,38.4639,38.77546,38.257250097745505,5m,tp,0.81,True
4,vwaps,2021-01-01 11:00:00,2021-01-01 11:35:00,38.8715,39.24467,38.623993309168306,5m,sl,-0.64,True
5,vwaps,2021-01-01 11:40:00,2021-01-01 14:30:00,38.53,38.90567,38.27907740600172,5m,sl,-0.65,True
6,vwaps,2021-01-02 03:35:00,2021-01-02 05:45:00,37.4155,37.62877,37.27165474466622,5m,tp,0.57,True
7,vwaps,2021-01-02 05:55:00,2021-01-02 06:20:00,37.6826,37.88609,37.545897882174295,5m,sl,-0.36,True
8,vwaps,2021-01-02 12:45:00,2021-01-02 12:55:00,37.5687,37.86174,37.374217061205776,5m,tp,0.78,True
9,vwaps,2021-01-02 13:00:00,2021-01-02 13:05:00,37.8293,38.18111,37.592905642663666,5m,tp,0.93,True
10,vwaps,2021-01-02 13:10:00,2021-01-02 14:25:00,38.0283,38.44471,37.74927807964367,5m,sl,-0.73,True
11,vwaps,2021-01-02 15:00:00,2021-01-02 17:00:00,38.0284,38.36495,37.80371127121889,5m,tp,0.88,True
12,vwaps,2021-01-02 17:10:00,2021-01-02 18:00:00,38.6966,39.09711,38.42801393994207,5m,sl,-0.69,True
13,vwaps,2021-01-03 06:30:00,2021-01-03 08:35:00,38.0705,38.26466,37.94236165844889,5m,tp,0.51,True
14,vwaps,2021-01-03 08:40:00,2021-01-03 08:50:00,38.3263,38.55051,38.17795107162482,5m,tp,0.59,True
15,vwaps,2021-01-03 08:55:00,2021-01-03 09:15:00,38.5958,38.86211,38.41770340902322,5m,sl,-0.46,True
16,vwaps,2021-01-03 11:20:00,2021-01-03 11:55:00,39.3097,39.77552,38.99818867564523,5m,tp,1.19,True
17,vwaps,2021-01-03 12:00:00,2021-01-03 13:10:00,40.2813,40.91573,39.858620430764475,5m,sl,-1.05,True
18,vwaps,2021-01-03 13:35:00,2021-01-03 14:00:00,40.0999,40.70741,39.696325665149054,5m,tp,1.51,True
19,vwaps,2021-01-03 14:05:00,2021-01-03 14:45:00,41.256,41.99242,40.76661947215239,5m,sl,-1.19,True
20,vwaps,2021-01-03 23:25:00,2021-01-04 00:00:00,41.2846,41.81098,40.93540980268822,5m,tp,1.28,True
21,vwaps,2021-01-04 00:05:00,2021-01-04 01:15:00,41.4617,42.12094,41.02166514442758,5m,tp,1.59,True
22,vwaps,2021-01-04 05:35:00,2021-01-04 06:20:00,42.0418,42.50216,41.73559785437744,5m,tp,1.1,True
23,vwaps,2021-01-04 15:20:00,2021-01-04 16:05:00,40.0441,40.55466,39.70204049494788,5m,sl,-0.85,True
24,vwaps,2021-01-04 18:15:00,2021-01-04 21:25:00,39.7393,40.26982,39.38363358824725,5m,sl,-0.89,True
25,vwaps,2021-01-04 22:10:00,2021-01-04 23:50:00,40.24,40.72288,39.917750867472904,5m,tp,1.2,True
26,vwaps,2021-01-04 23:55:00,2021-01-05 00:00:00,41.1333,41.63307,40.799658123993694,5m,sl,-0.81,True
27,vwaps,2021-01-05 00:05:00,2021-01-05 03:25:00,40.7649,41.33969,40.382418994668036,5m,sl,-0.94,True
28,vwaps,2021-01-05 09:30:00,2021-01-05 11:55:00,40.2544,40.62273,40.00684404038061,5m,tp,0.92,True
29,vwaps,2021-01-05 12:00:00,2021-01-05 13:25:00,40.5007,40.88951,40.241977549528215,5m,sl,-0.64,True
30,vwaps,2021-01-05 16:25:00,2021-01-05 18:30:00,40.438,40.79588,40.19881381696304,5m,sl,-0.59,True
31,vwaps,2021-01-05 21:25:00,2021-01-05 21:30:00,40.3998,40.74522,40.169228347900294,5m,tp,0.86,True
32,vwaps,2021-01-05 21:35:00,2021-01-05 21:45:00,40.8485,41.24065,40.586013473444645,5m,sl,-0.64,True
33,vwaps,2021-01-05 21:50:00,2021-01-05 22:45:00,40.7306,41.12772,40.46514539036366,5m,tp,0.97,True
34,vwaps,2021-01-05 22:50:00,2021-01-05 23:30:00,41.1703,41.53466,40.92633245685244,5m,tp,0.89,True
