,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,nwe,2021-01-02 21:30:00,2021-01-02 22:30:00,31611.63,32243.8626,31190.1416,15m,tp,2.0,True,
1,nwe,2021-01-04 10:45:00,2021-01-04 11:45:00,30270.76,30876.1752,29867.14987,15m,tp,2.0,True,
2,nwe,2021-01-05 06:45:00,2021-01-05 09:30:00,31123.25,31745.715,30708.27333,15m,tp,2.0,True,
3,nwe,2021-01-06 05:00:00,2021-01-06 07:45:00,35204.37,34500.2826,35673.7616,15m,tp,2.0,False,
4,nwe,2021-01-08 03:15:00,2021-01-08 07:30:00,38216.77,38981.1054,37707.21307,15m,tp,2.0,True,
5,nwe,2021-01-10 21:00:00,2021-01-10 22:00:00,37935.95,38694.669,37430.13733,15m,tp,2.0,True,
6,nwe,2021-01-11 04:15:00,2021-01-11 04:45:00,34683.21,35376.8742,34220.7672,15m,tp,2.0,True,
7,nwe,2021-01-11 06:45:00,2021-01-11 07:00:00,32872.63,33530.0826,32434.32827,15m,tp,2.0,True,
8,nwe,2021-01-11 07:15:00,2021-01-11 07:30:00,33731.02,34405.6404,33281.27307,15m,tp,2.0,True,
9,nwe,2021-01-11 07:45:00,2021-01-11 08:00:00,34375.34,35062.8468,33917.00213,15m,tp,2.0,True,
10,nwe,2021-01-11 10:45:00,2021-01-11 11:00:00,35367.6,34660.248,35839.168,15m,tp,2.0,False,
11,nwe,2021-01-11 14:45:00,2021-01-11 15:00:00,33299.12,33965.1024,32855.13173,15m,sl,-1.33,True,
12,nwe,2021-01-11 16:45:00,2021-01-11 17:00:00,31777.19,32412.7338,31353.49413,15m,sl,-1.33,True,
13,nwe,2021-01-11 17:15:00,2021-01-11 17:30:00,32609.17,33261.3534,32174.38107,15m,tp,2.0,True,
14,nwe,2021-01-21 12:45:00,2021-01-21 14:00:00,32475.34,33124.8468,32042.33547,15m,sl,-1.33,True,
15,nwe,2021-01-21 20:45:00,2021-01-21 21:45:00,31883.01,31245.3498,32308.1168,15m,tp,2.0,False,
16,nwe,2021-01-22 01:30:00,2021-01-22 02:00:00,29924.76,30523.2552,29525.7632,15m,tp,2.0,True,
17,nwe,2021-01-29 07:15:00,2021-01-29 08:30:00,32184.99,32828.6898,31755.8568,15m,tp,2.0,True,
18,nwe,2021-01-29 08:45:00,2021-01-29 09:00:00,36240.24,36965.0448,35757.0368,15m,tp,2.0,True,
19,nwe,2021-01-29 09:15:00,2021-01-29 09:30:00,37495.78,38245.6956,36995.83627,15m,sl,-1.33,True,
20,nwe,2021-01-29 10:00:00,2021-01-29 10:15:00,36532.27,35801.6246,37019.36693,15m,tp,2.0,False,
21,nwe,2021-01-29 10:30:00,2021-01-29 11:00:00,36263.84,35538.5632,36747.35787,15m,sl,-1.33,False,
22,nwe,2021-01-29 13:15:00,2021-01-29 13:45:00,37378.77,36631.1946,37877.1536,15m,sl,-1.33,False,
23,nwe,2021-01-29 14:15:00,2021-01-29 14:30:00,38113.38,37351.1124,38621.5584,15m,tp,2.0,False,
24,nwe,2021-01-29 14:45:00,2021-01-29 16:45:00,37058.49,36317.3202,37552.6032,15m,tp,2.0,False,
25,nwe,2021-02-04 09:00:00,2021-02-04 15:00:00,37307.73,36561.5754,37805.1664,15m,tp,2.0,False,
26,nwe,2021-02-08 12:45:00,2021-02-08 13:15:00,42984.07,43843.7514,42410.94907,15m,tp,2.0,True,
27,nwe,2021-02-08 14:00:00,2021-02-08 16:00:00,43474.87,42605.3726,44054.53493,15m,sl,-1.33,False,
28,nwe,2021-02-15 03:00:00,2021-02-15 11:15:00,46989.98,47929.7796,46363.44693,15m,tp,2.0,True,
29,nwe,2021-02-20 23:15:00,2021-02-21 03:00:00,55609.05,56721.231,54867.596,15m,tp,2.0,True,
30,nwe,2021-02-22 14:45:00,2021-02-22 17:00:00,53478.83,54548.4066,52765.77893,15m,sl,-1.33,True,
31,nwe,2021-02-23 09:30:00,2021-02-23 10:00:00,47988.01,48947.7702,47348.16987,15m,tp,2.0,True,
32,nwe,2021-02-23 12:15:00,2021-02-23 12:30:00,46441.27,47370.0954,45822.05307,15m,tp,2.0,True,
33,nwe,2021-03-03 13:30:00,2021-03-03 19:15:00,51410.48,50382.2704,52095.95307,15m,tp,2.0,False,
34,nwe,2021-03-15 10:15:00,2021-03-15 12:00:00,56078.22,57199.7844,55330.5104,15m,sl,-1.33,True,
35,nwe,2021-03-25 11:30:00,2021-03-25 12:00:00,52499.99,51449.9902,53199.98987,15m,tp,2.0,False,
36,nwe,2021-03-31 07:00:00,2021-03-31 07:45:00,59580.01,58388.4098,60374.41013,15m,tp,2.0,False,
37,nwe,2021-03-31 08:00:00,2021-03-31 13:30:00,57779.01,56623.4298,58549.3968,15m,sl,-1.33,False,
38,nwe,2021-04-04 01:30:00,2021-04-04 13:15:00,56927.89,58066.4478,56168.85147,15m,tp,2.0,True,
39,nwe,2021-04-07 12:15:00,2021-04-08 06:00:00,56120.01,57242.4102,55371.7432,15m,tp,2.0,True,
40,nwe,2021-04-10 02:30:00,2021-04-10 04:00:00,58445.33,59614.2366,57666.05893,15m,tp,2.0,True,
41,nwe,2021-04-10 21:30:00,2021-04-11 00:15:00,59130.02,60312.6204,58341.61973,15m,tp,2.0,True,
42,nwe,2021-04-18 04:15:00,2021-04-18 07:15:00,55320.13,56426.5326,54582.52827,15m,tp,2.0,True,
43,nwe,2021-04-18 12:15:00,2021-04-18 14:15:00,54291.41,55377.2382,53567.52453,15m,tp,2.0,True,
44,nwe,2021-04-25 22:15:00,2021-04-25 23:15:00,47944.97,48903.8694,47305.70373,15m,tp,2.0,True,
45,nwe,2021-04-26 00:30:00,2021-04-26 01:45:00,50761.1,51776.322,50084.28533,15m,tp,2.0,True,
46,nwe,2021-04-30 16:30:00,2021-04-30 23:30:00,57016.49,55876.1602,57776.70987,15m,sl,-1.33,False,
47,nwe,2021-05-04 01:30:00,2021-05-04 14:30:00,55557.5,56668.65,54816.73333,15m,sl,-1.33,True,
48,nwe,2021-05-04 17:15:00,2021-05-04 23:45:00,54116.45,55198.779,53394.89733,15m,sl,-1.33,True,
49,nwe,2021-05-05 00:30:00,2021-05-05 10:45:00,54655.34,55748.4468,53926.60213,15m,tp,2.0,True,
50,nwe,2021-05-09 13:30:00,2021-05-09 22:15:00,57050.52,58191.5304,56289.8464,15m,tp,2.0,True,
51,nwe,2021-05-10 20:45:00,2021-05-11 00:15:00,55240.88,56345.6976,54504.33493,15m,tp,2.0,True,
52,nwe,2021-05-13 00:30:00,2021-05-13 04:00:00,49896.61,50894.5422,49231.32187,15m,tp,2.0,True,
53,nwe,2021-05-13 18:00:00,2021-05-13 18:30:00,48824.77,49801.2654,48173.77307,15m,sl,-1.33,True,
54,nwe,2021-05-16 19:30:00,2021-05-16 20:30:00,45298.69,46204.6638,44694.70747,15m,sl,-1.33,True,
55,nwe,2021-05-19 13:30:00,2021-05-19 13:45:00,37406.48,38154.6096,36907.72693,15m,sl,-1.33,True,
56,nwe,2021-05-19 14:00:00,2021-05-19 14:15:00,35086.0,35787.72,34618.18667,15m,tp,2.0,True,
57,nwe,2021-05-19 14:45:00,2021-05-19 15:15:00,37521.32,38271.7464,37021.03573,15m,sl,-1.33,True,
58,nwe,2021-05-20 01:15:00,2021-05-20 02:00:00,37173.08,37916.5416,36677.43893,15m,tp,2.0,True,
59,nwe,2021-05-21 21:45:00,2021-05-21 22:30:00,36588.77,37320.5454,36100.91973,15m,tp,2.0,True,
60,nwe,2021-05-23 17:00:00,2021-05-23 17:15:00,33393.01,34060.8702,32947.76987,15m,sl,-1.33,True,
61,nwe,2021-06-01 14:15:00,2021-06-01 15:30:00,36852.81,36115.7538,37344.1808,15m,tp,2.0,False,
62,nwe,2021-06-04 13:00:00,2021-06-04 14:00:00,36819.91,37556.3082,36328.97787,15m,sl,-1.33,True,
63,nwe,2021-06-13 20:45:00,2021-06-14 13:00:00,39250.0,38465.0,39773.33333,15m,sl,-1.33,False,
64,nwe,2021-06-14 15:00:00,2021-06-14 18:45:00,40542.17,39731.3266,41082.73227,15m,tp,2.0,False,
65,nwe,2021-06-15 18:45:00,2021-06-15 19:45:00,40598.57,39786.5986,41139.88427,15m,tp,2.0,False,
66,nwe,2021-06-20 13:00:00,2021-06-20 18:15:00,34127.38,34809.9276,33672.34827,15m,tp,2.0,True,
67,nwe,2021-06-21 07:15:00,2021-06-21 09:00:00,32843.03,33499.8906,32405.12293,15m,tp,2.0,True,
68,nwe,2021-06-21 12:00:00,2021-06-21 13:45:00,32427.17,33075.7134,31994.80773,15m,tp,2.0,True,
69,nwe,2021-06-22 13:00:00,2021-06-22 13:45:00,29799.5,30395.49,29402.17333,15m,sl,-1.33,True,
70,nwe,2021-06-22 14:00:00,2021-06-22 14:45:00,29458.45,30047.619,29065.67067,15m,tp,2.0,True,
71,nwe,2021-06-22 15:00:00,2021-06-22 15:15:00,30725.17,31339.6734,30315.50107,15m,tp,2.0,True,
72,nwe,2021-06-27 21:30:00,2021-06-27 22:00:00,32642.09,33294.9318,32206.86213,15m,tp,2.0,True,
73,nwe,2021-06-27 22:15:00,2021-06-28 00:00:00,34123.61,34806.0822,33668.62853,15m,tp,2.0,True,
74,nwe,2021-07-07 22:30:00,2021-07-08 00:15:00,34230.74,33546.1252,34687.14987,15m,tp,2.0,False,
75,nwe,2021-07-21 18:45:00,2021-07-22 00:15:00,31786.71,31150.9758,32210.5328,15m,sl,-1.33,False,
76,nwe,2021-07-25 23:45:00,2021-07-26 00:45:00,35381.02,36088.6404,34909.27307,15m,tp,2.0,True,
77,nwe,2021-07-26 01:45:00,2021-07-26 06:15:00,38313.4,37547.132,38824.24533,15m,sl,-1.33,False,
78,nwe,2021-07-26 19:00:00,2021-07-26 19:45:00,40233.12,39428.4576,40769.5616,15m,tp,2.0,False,
79,nwe,2021-07-26 20:00:00,2021-07-26 20:45:00,38222.6,37458.148,38732.23467,15m,tp,2.0,False,
80,nwe,2021-07-28 18:30:00,2021-07-29 00:45:00,40249.6,41054.592,39712.93867,15m,sl,-1.33,True,
81,nwe,2021-07-31 00:30:00,2021-08-01 03:45:00,41799.99,40963.9902,42357.3232,15m,sl,-1.33,False,
82,nwe,2021-08-05 13:15:00,2021-08-05 14:30:00,37819.99,38576.3898,37315.72347,15m,tp,2.0,True,
83,nwe,2021-08-05 19:45:00,2021-08-06 04:15:00,40692.24,39878.3952,41234.8032,15m,tp,2.0,False,
84,nwe,2021-09-07 13:30:00,2021-09-07 14:15:00,50850.81,49833.7938,51528.8208,15m,tp,2.0,False,
85,nwe,2021-09-07 14:30:00,2021-09-07 14:45:00,49798.1,48802.138,50462.07467,15m,tp,2.0,False,
86,nwe,2021-09-07 15:30:00,2021-09-07 15:45:00,47324.1,48270.582,46693.112,15m,sl,-1.33,True,
87,nwe,2021-09-07 16:00:00,2021-09-07 21:15:00,47000.4,47940.408,46373.728,15m,sl,-1.33,True,
88,nwe,2021-09-08 08:45:00,2021-09-09 13:00:00,45983.62,46903.2924,45370.50507,15m,tp,2.0,True,
89,nwe,2021-09-12 23:45:00,2021-09-13 01:30:00,46025.24,45104.7352,46638.90987,15m,tp,2.0,False,
90,nwe,2021-09-13 14:15:00,2021-09-13 19:15:00,44132.08,43249.4384,44720.50773,15m,sl,-1.33,False,
91,nwe,2021-09-16 04:00:00,2021-09-16 20:45:00,47987.01,48946.7502,47347.1832,15m,sl,-1.33,True,
92,nwe,2021-09-20 13:00:00,2021-09-20 17:30:00,43337.4,44204.148,42759.568,15m,tp,2.0,True,
93,nwe,2021-09-21 01:00:00,2021-09-21 01:30:00,41627.8,42460.356,41072.76267,15m,tp,2.0,True,
94,nwe,2021-09-21 01:45:00,2021-09-21 10:45:00,42762.58,43617.8316,42192.41227,15m,tp,2.0,True,
95,nwe,2021-09-21 21:45:00,2021-09-21 22:45:00,41379.1,42206.682,40827.37867,15m,sl,-1.33,True,
96,nwe,2021-09-21 23:30:00,2021-09-22 00:00:00,40328.41,41134.9782,39790.69787,15m,tp,2.0,True,
97,nwe,2021-09-22 00:15:00,2021-09-22 01:15:00,41123.21,41945.6742,40574.90053,15m,tp,2.0,True,
98,nwe,2021-09-24 07:45:00,2021-09-24 09:00:00,44818.46,43922.0908,45416.03947,15m,tp,2.0,False,
99,nwe,2021-09-24 09:15:00,2021-09-24 11:00:00,42776.27,41920.7446,43346.62027,15m,tp,2.0,False,
100,nwe,2021-09-24 11:45:00,2021-09-24 14:15:00,41527.5,42358.05,40973.8,15m,tp,2.0,True,
101,nwe,2021-09-26 08:15:00,2021-09-26 09:15:00,41403.58,42231.6516,40851.53227,15m,tp,2.0,True,
102,nwe,2021-10-01 11:15:00,2021-10-01 19:00:00,47387.09,46439.3482,48018.91787,15m,sl,-1.33,False,
103,nwe,2021-10-06 09:15:00,2021-10-06 12:00:00,50516.1,51526.422,49842.552,15m,tp,2.0,True,
104,nwe,2021-10-06 12:15:00,2021-10-06 13:00:00,52277.06,53322.6012,51580.03253,15m,tp,2.0,True,
105,nwe,2021-10-06 13:45:00,2021-10-06 15:30:00,53997.0,52917.06,54716.96,15m,sl,-1.33,False,
106,nwe,2021-10-08 09:30:00,2021-10-08 13:30:00,55420.48,54312.0704,56159.41973,15m,tp,2.0,False,
107,nwe,2021-10-12 20:45:00,2021-10-12 23:00:00,55361.08,56468.3016,54622.93227,15m,tp,2.0,True,
108,nwe,2021-10-15 03:30:00,2021-10-15 14:00:00,59194.62,58010.7276,59983.8816,15m,sl,-1.33,False,
109,nwe,2021-10-15 21:00:00,2021-10-15 21:45:00,62080.96,60839.3408,62908.70613,15m,tp,2.0,False,
110,nwe,2021-10-17 20:45:00,2021-10-17 21:45:00,59401.12,60589.1424,58609.10507,15m,tp,2.0,True,
111,nwe,2021-10-17 22:00:00,2021-10-18 00:30:00,61179.99,62403.5898,60364.2568,15m,tp,2.0,True,
112,nwe,2021-10-18 13:45:00,2021-10-19 13:30:00,61835.23,63071.9346,61010.76027,15m,tp,2.0,True,
113,nwe,2021-10-21 10:15:00,2021-10-21 11:30:00,66090.61,64768.7978,66971.81813,15m,tp,2.0,False,
114,nwe,2021-10-21 16:00:00,2021-10-21 17:45:00,63368.04,64635.4008,62523.1328,15m,sl,-1.33,True,
115,nwe,2021-10-22 16:45:00,2021-10-23 10:45:00,61154.7,62377.794,60339.304,15m,sl,-1.33,True,
116,nwe,2021-10-28 19:15:00,2021-10-28 19:45:00,60263.99,61469.2698,59460.47013,15m,tp,2.0,True,
117,nwe,2021-11-01 04:30:00,2021-11-01 07:00:00,60610.6,61822.812,59802.45867,15m,tp,2.0,True,
118,nwe,2021-11-10 14:45:00,2021-11-10 19:45:00,68382.69,67015.0362,69294.4592,15m,tp,2.0,False,
119,nwe,2021-11-10 22:30:00,2021-11-12 09:45:00,64883.41,66181.0782,64018.29787,15m,sl,-1.33,True,
120,nwe,2021-11-12 17:15:00,2021-11-12 20:00:00,63371.39,64638.8178,62526.43813,15m,tp,2.0,True,
121,nwe,2021-11-16 10:45:00,2021-11-16 14:45:00,60160.0,61363.2,59357.86667,15m,tp,2.0,True,
122,nwe,2021-11-18 17:45:00,2021-11-18 22:45:00,57540.2,58691.004,56772.99733,15m,sl,-1.33,True,
123,nwe,2021-11-22 14:15:00,2021-11-22 18:30:00,58211.55,57047.319,58987.704,15m,tp,2.0,False,
124,nwe,2021-11-26 12:30:00,2021-11-27 08:15:00,54042.92,55123.7784,53322.34773,15m,tp,2.0,True,
125,nwe,2021-11-30 16:00:00,2021-11-30 18:30:00,56858.23,55721.0654,57616.33973,15m,sl,-1.33,False,
126,nwe,2021-12-04 03:15:00,2021-12-04 04:45:00,52478.21,51428.6458,53177.91947,15m,tp,2.0,False,
127,nwe,2021-12-04 05:00:00,2021-12-04 05:15:00,48861.51,47884.2798,49512.9968,15m,tp,2.0,False,
128,nwe,2021-12-04 06:00:00,2021-12-04 06:30:00,46995.42,47935.3284,46368.8144,15m,tp,2.0,True,
129,nwe,2021-12-04 06:45:00,2021-12-04 07:00:00,47482.79,48432.4458,46849.68613,15m,sl,-1.33,True,
130,nwe,2021-12-04 07:15:00,2021-12-04 11:30:00,47546.98,48497.9196,46913.02027,15m,sl,-1.33,True,
131,nwe,2021-12-08 13:00:00,2021-12-08 14:15:00,49255.57,50240.6814,48598.82907,15m,tp,2.0,True,
132,nwe,2021-12-10 14:15:00,2021-12-10 14:45:00,49477.69,48488.1362,50137.39253,15m,tp,2.0,False,
133,nwe,2021-12-10 15:00:00,2021-12-10 16:15:00,48219.2,47254.816,48862.12267,15m,tp,2.0,False,
134,nwe,2021-12-13 20:15:00,2021-12-14 11:45:00,46680.89,47614.5078,46058.47813,15m,tp,2.0,True,
135,nwe,2021-12-15 16:30:00,2021-12-15 18:45:00,46820.27,47756.6754,46195.99973,15m,tp,2.0,True,
136,nwe,2021-12-17 15:15:00,2021-12-17 16:00:00,45938.36,46857.1272,45325.84853,15m,tp,2.0,True,
137,nwe,2021-12-23 17:00:00,2021-12-23 17:45:00,49145.26,50128.1652,48489.98987,15m,tp,2.0,True,
138,nwe,2021-12-23 19:00:00,2021-12-24 01:45:00,50620.81,49608.3938,51295.75413,15m,sl,-1.33,False,
139,nwe,2021-12-31 20:30:00,2022-01-01 01:15:00,45976.86,46896.3972,45363.8352,15m,tp,2.0,True,
140,nwe,2022-01-04 15:45:00,2022-01-04 18:30:00,46925.35,45986.843,47551.02133,15m,tp,2.0,False,
141,nwe,2022-01-05 16:00:00,2022-01-05 19:45:00,46464.42,45535.1316,47083.9456,15m,tp,2.0,False,
142,nwe,2022-01-05 20:00:00,2022-01-05 22:00:00,44240.95,43356.131,44830.82933,15m,tp,2.0,False,
143,nwe,2022-01-05 22:15:00,2022-01-07 03:15:00,43000.01,43860.0102,42426.67653,15m,sl,-1.33,True,
144,nwe,2022-01-07 05:00:00,2022-01-07 08:15:00,41736.61,42571.3422,41180.12187,15m,tp,2.0,True,
145,nwe,2022-01-10 15:00:00,2022-01-10 16:15:00,40659.9,41473.098,40117.768,15m,tp,2.0,True,
146,nwe,2022-01-12 14:15:00,2022-01-13 15:45:00,43798.34,42922.3732,44382.31787,15m,tp,2.0,False,
147,nwe,2022-01-14 12:00:00,2022-01-14 14:45:00,41937.86,42776.6172,41378.68853,15m,tp,2.0,True,
148,nwe,2022-01-21 04:15:00,2022-01-21 12:30:00,38788.99,39564.7698,38271.80347,15m,sl,-1.33,True,
149,nwe,2022-01-21 23:15:00,2022-01-22 01:00:00,36732.31,37466.9562,36242.54587,15m,sl,-1.33,True,
150,nwe,2022-01-24 13:30:00,2022-01-24 14:30:00,33342.0,34008.84,32897.44,15m,tp,2.0,True,
151,nwe,2022-01-24 21:30:00,2022-01-25 00:45:00,36875.04,36137.5392,37366.7072,15m,tp,2.0,False,
152,nwe,2022-01-27 21:30:00,2022-01-27 22:30:00,35898.99,36616.9698,35420.3368,15m,tp,2.0,True,
153,nwe,2022-02-04 14:00:00,2022-02-04 15:00:00,37547.36,38298.3072,37046.72853,15m,tp,2.0,True,
154,nwe,2022-02-04 15:15:00,2022-02-04 16:15:00,39501.61,40291.6422,38974.92187,15m,tp,2.0,True,
155,nwe,2022-02-04 17:00:00,2022-02-04 23:45:00,40391.88,39584.0424,40930.4384,15m,sl,-1.33,False,
156,nwe,2022-02-05 00:45:00,2022-02-06 23:15:00,41471.41,40641.9818,42024.36213,15m,sl,-1.33,False,
157,nwe,2022-02-10 14:45:00,2022-02-10 15:00:00,44356.08,45243.2016,43764.6656,15m,tp,2.0,True,
158,nwe,2022-02-10 17:45:00,2022-02-10 19:45:00,45330.43,44423.8214,45934.83573,15m,tp,2.0,False,
