,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,vwaps,2021-01-03 03:30:00,2021-01-03 05:00:00,32573.87,33599.9469,31889.24381224638,30m,tp,3.15,True
1,vwaps,2021-01-03 06:00:00,2021-01-03 15:00:00,33855.54,34972.77282,33110.19505727516,30m,sl,-2.2,True
2,vwaps,2021-01-07 02:00:00,2021-01-07 12:00:00,36663.12,37966.49392,35795.88292904552,30m,tp,3.56,True
3,vwaps,2021-01-09 11:30:00,2021-01-10 11:00:00,40565.77,41989.62853,39616.91293675263,30m,sl,-2.34,True
4,vwaps,2021-01-13 18:00:00,2021-01-13 20:00:00,35112.09,36312.92348,34312.263677373965,30m,tp,3.42,True
5,vwaps,2021-01-14 12:00:00,2021-01-14 14:00:00,37927.34,39070.8493,37166.552321136995,30m,tp,3.01,True
6,vwaps,2021-01-14 14:30:00,2021-01-14 21:00:00,39577.53,40747.04601,38797.12054983028,30m,sl,-1.97,True
7,vwaps,2021-01-24 06:00:00,2021-01-24 13:30:00,32730.19,33471.5288,32235.455445619915,30m,sl,-1.51,True
8,vwaps,2021-01-25 01:30:00,2021-01-25 03:30:00,32864.98,33624.16104,32357.41317654873,30m,tp,2.31,True
9,vwaps,2021-01-28 13:00:00,2021-01-28 15:00:00,31290.38,32168.07516,30704.24693869028,30m,tp,2.81,True
10,vwaps,2021-01-29 13:30:00,2021-01-29 16:30:00,38250.03,40407.33169,36813.57888519698,30m,sl,-3.76,True
11,vwaps,2021-02-01 09:00:00,2021-02-01 13:30:00,34373.01,35326.86103,33737.91486659357,30m,sl,-1.85,True
12,vwaps,2021-02-02 06:00:00,2021-02-02 08:30:00,33984.11,34606.01921,33570.50675269321,30m,tp,1.83,True
13,vwaps,2021-02-02 20:30:00,2021-02-03 04:00:00,35786.51,36597.07445,35246.275001591515,30m,tp,2.26,True
14,vwaps,2021-02-03 16:30:00,2021-02-04 00:00:00,37146.67,37943.46607,36617.16102147239,30m,tp,2.14,True
15,vwaps,2021-02-05 12:30:00,2021-02-06 00:30:00,37850.36,38628.1849,37329.9371038285,30m,tp,2.06,True
16,vwaps,2021-02-06 01:00:00,2021-02-06 11:00:00,39335.77,40132.31934,38805.37689118955,30m,tp,2.02,True
17,vwaps,2021-02-08 12:00:00,2021-02-08 12:30:00,39227.72,39951.47143,38746.15093860009,30m,tp,1.84,True
18,vwaps,2021-02-09 19:00:00,2021-02-10 12:30:00,46849.18,48416.28507,45805.85033897813,30m,sl,-2.23,True
19,vwaps,2021-02-14 02:00:00,2021-02-14 05:30:00,47350.01,48188.10518,46791.680502898766,30m,tp,1.77,True
20,vwaps,2021-02-14 06:00:00,2021-02-15 01:30:00,48810.55,49784.32047,48159.11515813951,30m,sl,-1.33,True
21,vwaps,2021-02-17 19:30:00,2021-02-18 07:00:00,52142.35,53229.518,51419.68400936882,30m,sl,-1.39,True
22,vwaps,2021-02-19 09:00:00,2021-02-19 15:30:00,52710.81,53564.72512,52139.391612684434,30m,tp,1.62,True
23,vwaps,2021-02-21 16:00:00,2021-02-22 00:00:00,57434.74,58451.3349,56756.12799351917,30m,sl,-1.18,True
24,vwaps,2021-03-01 12:30:00,2021-03-01 15:30:00,47913.8,49099.66655,47121.68376646061,30m,tp,2.47,True
25,vwaps,2021-03-03 02:30:00,2021-03-03 07:00:00,48594.07,49665.56924,47881.757131247155,30m,tp,2.2,True
26,vwaps,2021-03-06 19:30:00,2021-03-07 00:00:00,48341.01,49276.40854,47719.66755655464,30m,tp,1.93,True
27,vwaps,2021-03-09 15:00:00,2021-03-10 00:00:00,54388.54,55375.692,53731.28018406892,30m,tp,1.81,True
28,vwaps,2021-03-10 11:00:00,2021-03-10 13:30:00,54777.46,55894.92018,54033.51057734376,30m,tp,2.04,True
29,vwaps,2021-03-11 14:00:00,2021-03-12 10:00:00,56946.48,58261.94369,56070.88140504061,30m,sl,-1.54,True
30,vwaps,2021-03-16 21:00:00,2021-03-17 09:30:00,56280.96,57454.41802,55499.48356684353,30m,sl,-1.39,True
31,vwaps,2021-03-20 12:00:00,2021-03-20 13:00:00,58859.83,59619.12181,58352.40318238533,30m,tp,1.29,True
32,vwaps,2021-03-24 13:00:00,2021-03-24 16:00:00,56968.31,58010.83007,56271.05696752774,30m,sl,-1.22,True
33,vwaps,2021-03-26 06:00:00,2021-03-26 08:00:00,52621.02,53797.0998,51837.807994600524,30m,tp,2.24,True
34,vwaps,2021-03-26 18:00:00,2021-03-26 22:00:00,53686.13,54692.74494,53012.45241172339,30m,tp,1.88,True
35,vwaps,2021-03-27 23:00:00,2021-03-28 12:00:00,56125.01,57051.07266,55507.388433792985,30m,sl,-1.1,True
36,vwaps,2021-03-29 13:30:00,2021-03-29 20:30:00,57960.17,58977.37098,57282.463012803746,30m,sl,-1.17,True
37,vwaps,2021-03-30 07:30:00,2021-03-30 09:30:00,58116.17,58900.7383,57593.26742388261,30m,tp,1.35,True
38,vwaps,2021-03-30 10:00:00,2021-03-30 20:00:00,59107.03,59984.7694,58520.59753111733,30m,sl,-0.99,True
39,vwaps,2021-04-02 03:00:00,2021-04-02 13:30:00,59812.6,60691.84522,59229.28647035382,30m,sl,-0.98,True
40,vwaps,2021-04-05 14:00:00,2021-04-06 00:00:00,58636.6,59375.42116,58144.164965753065,30m,tp,1.26,True
41,vwaps,2021-04-08 18:00:00,2021-04-09 11:00:00,57945.16,58675.26902,57456.97297132815,30m,tp,1.26,True
42,vwaps,2021-04-10 04:00:00,2021-04-10 12:30:00,60761.79,61654.98831,60166.68271781975,30m,sl,-0.98,True
43,vwaps,2021-04-14 04:30:00,2021-04-14 09:00:00,64268.97,65126.96075,63697.52888607352,30m,sl,-0.89,True
44,vwaps,2021-04-24 19:30:00,2021-04-25 00:30:00,50667.75,51701.3721,49979.09008433294,30m,sl,-1.36,True
45,vwaps,2021-04-26 03:30:00,2021-04-26 12:00:00,52398.99,53829.48243,51442.719080491304,30m,tp,2.73,True
46,vwaps,2021-04-27 07:00:00,2021-04-28 01:00:00,54668.95,55669.39179,54004.47949017184,30m,tp,1.83,True
47,vwaps,2021-04-30 05:00:00,2021-04-30 13:00:00,54013.64,54807.64051,53483.17984966638,30m,tp,1.47,True
48,vwaps,2021-04-30 17:00:00,2021-04-30 22:30:00,56350.0,57415.015,55642.36398101801,30m,tp,1.89,True
49,vwaps,2021-04-30 23:00:00,2021-05-01 01:30:00,57463.24,58394.14449,56842.52934753013,30m,tp,1.62,True
50,vwaps,2021-05-03 08:30:00,2021-05-03 13:30:00,58764.07,59522.1265,58258.4425878845,30m,sl,-0.86,True
51,vwaps,2021-05-05 14:30:00,2021-05-06 10:00:00,56982.8,58264.913,56128.073654262684,30m,tp,2.25,True
52,vwaps,2021-05-08 09:00:00,2021-05-08 15:30:00,59098.7,60153.6118,58396.37783085796,30m,sl,-1.19,True
53,vwaps,2021-05-14 11:30:00,2021-05-14 20:30:00,50538.14,51781.37824,49708.026061156204,30m,sl,-1.64,True
54,vwaps,2021-05-20 08:00:00,2021-05-20 13:00:00,39726.74,42360.62286,37970.24036069888,30m,tp,6.63,True
55,vwaps,2021-05-24 12:30:00,2021-05-24 20:00:00,38211.21,39804.61746,37148.364989065514,30m,tp,4.17,True
56,vwaps,2021-05-26 02:30:00,2021-05-26 06:30:00,39212.14,40470.84969,38374.184040108456,30m,tp,3.21,True
57,vwaps,2021-05-30 06:30:00,2021-05-31 01:30:00,35775.9,36956.5047,34988.5605818483,30m,sl,-2.2,True
58,vwaps,2021-05-31 10:30:00,2021-06-01 08:00:00,36882.95,37917.51675,36192.030248486924,30m,sl,-1.87,True
59,vwaps,2021-06-02 07:00:00,2021-06-02 14:00:00,37091.77,37865.1334,36575.79568240835,30m,tp,2.08,True
60,vwaps,2021-06-03 10:30:00,2021-06-03 11:30:00,39259.23,39960.00726,38793.730247254185,30m,sl,-1.19,True
61,vwaps,2021-06-09 08:00:00,2021-06-09 11:30:00,34003.95,35029.16909,33319.95538748137,30m,tp,3.01,True
62,vwaps,2021-06-11 09:30:00,2021-06-12 01:30:00,37053.74,38020.84261,36410.30145188709,30m,sl,-1.74,True
63,vwaps,2021-06-13 21:00:00,2021-06-14 13:00:00,38982.13,39993.71627,38306.79965122694,30m,tp,2.59,True
64,vwaps,2021-06-14 14:30:00,2021-06-14 18:30:00,40543.46,41522.58456,39890.69958585132,30m,sl,-1.61,True
65,vwaps,2021-06-23 02:00:00,2021-06-24 01:30:00,33794.18,35309.84897,32782.539218703,30m,sl,-2.99,True
66,vwaps,2021-06-24 12:30:00,2021-06-24 17:00:00,34064.92,34897.80729,33509.16799626381,30m,tp,2.44,True
67,vwaps,2021-06-24 22:00:00,2021-06-25 02:00:00,34625.0,35362.5125,34132.10590472867,30m,tp,2.13,True
68,vwaps,2021-06-27 00:00:00,2021-06-27 12:30:00,32506.74,33535.57832,31822.181271568148,30m,tp,3.16,True
69,vwaps,2021-06-28 03:30:00,2021-06-28 07:30:00,34398.36,35229.08039,33845.24354213729,30m,tp,2.41,True
70,vwaps,2021-07-03 07:00:00,2021-07-03 07:30:00,33935.42,34439.36099,33599.274148870405,30m,tp,1.49,True
71,vwaps,2021-07-03 08:00:00,2021-07-04 05:30:00,34450.07,35023.66367,34068.20120489336,30m,tp,1.67,True
72,vwaps,2021-07-04 18:30:00,2021-07-04 21:30:00,35510.38,35904.54522,35248.73844848954,30m,tp,1.11,True
73,vwaps,2021-07-07 04:30:00,2021-07-07 21:00:00,34704.43,35282.25876,34318.88825593928,30m,sl,-1.11,True
74,vwaps,2021-07-11 10:30:00,2021-07-11 21:00:00,33750.79,34165.92472,33474.280917716715,30m,tp,1.23,True
75,vwaps,2021-07-12 03:30:00,2021-07-12 09:00:00,34447.92,34866.46223,34168.248383501224,30m,sl,-0.81,True
76,vwaps,2021-07-14 15:00:00,2021-07-15 08:30:00,32792.01,33362.59097,32411.850648782733,30m,sl,-1.16,True
77,vwaps,2021-07-21 07:30:00,2021-07-21 09:30:00,30817.84,31280.1076,30509.377380192553,30m,tp,1.5,True
78,vwaps,2021-07-22 02:30:00,2021-07-22 15:00:00,31855.0,32428.39,31472.16304198493,30m,tp,1.8,True
79,vwaps,2021-07-22 15:30:00,2021-07-22 21:30:00,32504.82,33041.14953,32146.282503991715,30m,sl,-1.1,True
80,vwaps,2021-07-23 04:00:00,2021-07-23 07:00:00,32654.98,33056.63625,32386.052007373284,30m,sl,-0.82,True
81,vwaps,2021-07-23 22:00:00,2021-07-23 22:30:00,32706.99,33104.37993,32443.017428776388,30m,tp,1.22,True
82,vwaps,2021-07-24 14:30:00,2021-07-24 16:00:00,33851.44,34211.95784,33610.49429363802,30m,tp,1.07,True
83,vwaps,2021-07-25 04:30:00,2021-07-25 14:00:00,34365.99,34850.55046,34042.12609540582,30m,sl,-0.94,True
84,vwaps,2021-07-25 22:30:00,2021-07-25 23:30:00,34656.78,35083.05839,34370.93378442629,30m,tp,1.23,True
85,vwaps,2021-07-28 00:00:00,2021-07-28 02:00:00,39049.98,40080.89947,38364.426242747155,30m,tp,2.64,True
86,vwaps,2021-08-04 14:30:00,2021-08-04 18:00:00,39119.55,39765.02258,38689.9210853272,30m,tp,1.65,True
87,vwaps,2021-08-05 18:30:00,2021-08-06 00:30:00,40840.0,41942.68,40106.275446971,30m,sl,-1.8,True
88,vwaps,2021-08-06 14:30:00,2021-08-06 15:00:00,40777.2,41627.40462,40212.16587387541,30m,tp,2.09,True
89,vwaps,2021-08-06 16:30:00,2021-08-07 03:30:00,42519.92,43636.0679,41773.77044834849,30m,tp,2.63,True
90,vwaps,2021-08-07 04:00:00,2021-08-07 12:00:00,43542.44,44430.70578,42949.69785563878,30m,tp,2.04,True
91,vwaps,2021-08-08 00:00:00,2021-08-08 18:30:00,44332.0,45342.7696,43659.67919821528,30m,sl,-1.52,True
92,vwaps,2021-08-13 10:00:00,2021-08-13 20:00:00,46386.53,47158.86572,45872.47751355294,30m,tp,1.66,True
93,vwaps,2021-08-19 19:30:00,2021-08-20 13:00:00,46710.0,47480.715,46196.817096607556,30m,tp,1.65,True
94,vwaps,2021-08-20 13:30:00,2021-08-20 14:30:00,47788.79,48426.77035,47363.56273835942,30m,tp,1.34,True
95,vwaps,2021-09-02 01:00:00,2021-09-02 01:30:00,49025.39,49724.00181,48557.91238449711,30m,tp,1.43,True
96,vwaps,2021-09-05 13:30:00,2021-09-05 19:00:00,50171.68,50668.37963,49840.838254882,30m,tp,0.99,True
97,vwaps,2021-09-06 19:30:00,2021-09-06 22:00:00,51715.39,52219.61505,51378.61770449007,30m,tp,0.97,True
98,vwaps,2021-09-12 13:00:00,2021-09-12 20:30:00,46080.9,46592.39799,45739.78976674229,30m,sl,-0.74,True
99,vwaps,2021-09-14 08:00:00,2021-09-14 12:30:00,45869.24,46502.23551,45446.06409697219,30m,tp,1.38,True
100,vwaps,2021-09-15 12:00:00,2021-09-15 15:30:00,47596.43,48167.58716,47216.82868572783,30m,tp,1.2,True
101,vwaps,2021-09-18 03:00:00,2021-09-18 05:00:00,47823.89,48433.6446,47418.70942102872,30m,tp,1.28,True
102,vwaps,2021-09-22 18:00:00,2021-09-22 18:30:00,43897.81,44885.51072,43240.24434769655,30m,sl,-1.5,True
103,vwaps,2021-09-22 19:30:00,2021-09-23 17:00:00,43384.9,44432.64534,42686.37162423081,30m,tp,2.42,True
104,vwaps,2021-09-26 11:00:00,2021-09-27 01:30:00,43123.34,44190.64266,42411.27944912669,30m,tp,2.47,True
105,vwaps,2021-09-30 02:30:00,2021-09-30 10:30:00,43407.83,44195.68211,42883.217621868636,30m,sl,-1.21,True
106,vwaps,2021-09-30 22:30:00,2021-10-01 07:00:00,43741.7,44502.80558,43232.60553588997,30m,tp,1.74,True
107,vwaps,2021-10-01 08:30:00,2021-10-01 10:00:00,44945.8,45626.72887,44489.751457288345,30m,tp,1.51,True
108,vwaps,2021-10-02 14:00:00,2021-10-03 00:30:00,47876.31,48458.00717,47490.19519990105,30m,sl,-0.81,True
109,vwaps,2021-10-04 22:30:00,2021-10-05 08:30:00,48916.29,49862.82021,48287.03922122201,30m,tp,1.93,True
110,vwaps,2021-10-05 20:30:00,2021-10-06 08:30:00,51462.29,52365.45319,50860.69363555151,30m,sl,-1.17,True
111,vwaps,2021-10-06 13:30:00,2021-10-06 23:00:00,53997.0,55495.41675,52999.4318480794,30m,tp,2.77,True
112,vwaps,2021-10-09 07:30:00,2021-10-10 01:30:00,54917.55,55642.46166,54432.66310256927,30m,sl,-0.88,True
113,vwaps,2021-10-11 05:30:00,2021-10-11 14:00:00,56528.93,57470.13668,55899.75886739908,30m,tp,1.66,True
114,vwaps,2021-10-11 14:30:00,2021-10-12 02:30:00,57447.99,58361.41304,56840.99697528621,30m,sl,-1.06,True
115,vwaps,2021-10-15 15:00:00,2021-10-15 16:00:00,59718.85,60713.16885,59054.51654039463,30m,tp,1.66,True
116,vwaps,2021-10-15 17:00:00,2021-10-15 20:00:00,61217.34,62346.79992,60461.329888984044,30m,tp,1.84,True
117,vwaps,2021-10-18 02:00:00,2021-10-18 09:30:00,62084.35,63145.99238,61376.12625857369,30m,sl,-1.14,True
118,vwaps,2021-10-19 20:00:00,2021-10-20 13:30:00,64109.99,65263.96982,63338.2808684898,30m,tp,1.8,True
119,vwaps,2021-10-20 17:00:00,2021-10-20 20:00:00,66444.85,67431.55602,65784.5618800201,30m,sl,-0.99,True
120,vwaps,2021-11-09 03:30:00,2021-11-09 11:00:00,68490.0,69496.803,67821.05410970049,30m,sl,-0.98,True
121,vwaps,2021-11-20 03:00:00,2021-11-20 15:00:00,58640.0,59440.436,58107.51527503991,30m,sl,-0.91,True
122,vwaps,2021-11-20 22:00:00,2021-11-21 02:00:00,59711.62,60472.94315,59204.088167788555,30m,sl,-0.85,True
123,vwaps,2021-11-24 21:00:00,2021-11-25 00:30:00,57245.0,58103.675,56672.96637601453,30m,tp,1.5,True
124,vwaps,2021-11-25 11:30:00,2021-11-25 13:00:00,58009.99,58775.72187,57501.83643341291,30m,tp,1.32,True
125,vwaps,2021-11-29 00:30:00,2021-11-29 09:30:00,57765.73,58909.49145,57000.56753723011,30m,sl,-1.32,True
126,vwaps,2021-11-29 18:00:00,2021-11-29 19:30:00,58611.93,59499.90074,58022.444917842426,30m,sl,-1.01,True
127,vwaps,2021-12-07 02:30:00,2021-12-07 15:00:00,50635.25,51706.18554,49919.04697728915,30m,tp,2.12,True
128,vwaps,2021-12-12 01:30:00,2021-12-12 17:00:00,49181.33,49970.69035,48654.2852945689,30m,tp,1.61,True
129,vwaps,2021-12-12 17:30:00,2021-12-13 00:30:00,50251.94,51005.7191,49751.45260272502,30m,sl,-1.0,True
130,vwaps,2021-12-14 22:00:00,2021-12-15 14:30:00,48139.9,49186.94282,47441.497634078085,30m,sl,-1.45,True
131,vwaps,2021-12-15 21:00:00,2021-12-16 17:00:00,49129.59,50411.8723,48273.47261502497,30m,sl,-1.74,True
132,vwaps,2021-12-21 07:00:00,2021-12-22 02:30:00,48665.12,49460.79471,48133.95033048984,30m,tp,1.63,True
133,vwaps,2021-12-24 05:30:00,2021-12-24 18:30:00,51012.73,51617.23085,50608.23899281158,30m,tp,1.18,True
134,vwaps,2021-12-27 03:00:00,2021-12-27 08:30:00,51048.43,51622.72484,50667.67056434148,30m,sl,-0.75,True
135,vwaps,2021-12-27 16:00:00,2021-12-27 17:30:00,51335.88,51898.00789,50962.35910005419,30m,tp,1.1,True
136,vwaps,2022-01-10 23:00:00,2022-01-11 16:30:00,41795.71,42761.1909,41153.83859056089,30m,tp,2.31,True
137,vwaps,2022-01-11 21:00:00,2022-01-12 13:30:00,42706.56,43475.27808,42193.06215485173,30m,tp,1.8,True
138,vwaps,2022-01-14 18:00:00,2022-01-15 17:30:00,42862.13,43543.63787,42409.449792224965,30m,tp,1.59,True
139,vwaps,2022-01-15 18:30:00,2022-01-15 20:00:00,43334.93,43763.94581,43049.66173817134,30m,tp,0.99,True
140,vwaps,2022-01-24 19:00:00,2022-01-24 20:30:00,35859.33,37273.98057,34915.01666359328,30m,tp,3.95,True
141,vwaps,2022-01-26 04:30:00,2022-01-26 07:00:00,37789.73,38554.97203,37278.63208654659,30m,sl,-1.35,True
142,vwaps,2022-01-28 17:00:00,2022-01-28 20:30:00,36930.83,37711.91705,36408.7482815352,30m,tp,2.11,True
143,vwaps,2022-01-29 01:30:00,2022-01-29 13:30:00,37535.77,38160.74057,37117.34476373179,30m,tp,1.66,True
144,vwaps,2022-01-29 20:30:00,2022-01-29 23:00:00,38340.03,38880.62442,37978.45280275076,30m,sl,-0.94,True
145,vwaps,2022-01-31 19:00:00,2022-02-01 16:30:00,38563.06,39216.70387,38128.80564003234,30m,tp,1.7,True
146,vwaps,2022-02-04 03:30:00,2022-02-04 06:00:00,37297.62,37767.57001,36985.59815743436,30m,tp,1.26,True
147,vwaps,2022-02-04 20:00:00,2022-02-04 23:30:00,40585.0,41467.72375,39996.563254139845,30m,tp,2.17,True
