,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,support_and_resistant,2021-01-01 09:30:00,2021-01-01 12:20:00,29257.49,29403.77745,29159.96503,5m,tp,0.5,True
1,support_and_resistant,2021-01-01 21:00:00,2021-01-02 00:25:00,29200.01,29346.01005,29102.67663,5m,sl,-0.33,True
2,support_and_resistant,2021-01-02 05:15:00,2021-01-02 05:55:00,29437.95,29585.13975,29339.8235,5m,tp,0.5,True
3,support_and_resistant,2021-01-02 12:30:00,2021-01-02 12:35:00,30255.28,30406.5564,30154.42907,5m,tp,0.5,True
4,support_and_resistant,2021-01-02 19:05:00,2021-01-02 19:15:00,33047.09,33212.32545,32936.93303,5m,sl,-0.33,True
5,support_and_resistant,2021-01-03 05:30:00,2021-01-03 05:50:00,34000.0,34170.0,33886.66667,5m,sl,-0.33,True
6,support_and_resistant,2021-01-03 05:55:00,2021-01-03 06:05:00,33758.67,33927.46335,33646.1411,5m,tp,0.5,True
7,support_and_resistant,2021-01-03 06:15:00,2021-01-03 07:15:00,33938.28,34107.9714,33825.1524,5m,tp,0.5,True
8,support_and_resistant,2021-01-03 07:25:00,2021-01-03 07:30:00,34487.56,34659.9978,34372.60147,5m,tp,0.5,True
9,support_and_resistant,2021-01-03 20:50:00,2021-01-03 20:55:00,33582.42,33750.3321,33470.4786,5m,tp,0.5,True
10,support_and_resistant,2021-01-03 21:10:00,2021-01-03 21:55:00,33673.24,33841.6062,33560.99587,5m,sl,-0.33,True
11,support_and_resistant,2021-01-04 03:00:00,2021-01-04 03:15:00,33493.59,33661.05795,33381.9447,5m,sl,-0.33,True
12,support_and_resistant,2021-01-04 19:40:00,2021-01-04 20:00:00,31675.39,31833.76695,31569.80537,5m,sl,-0.33,True
13,support_and_resistant,2021-01-05 00:20:00,2021-01-05 00:30:00,32291.5,32452.9575,32183.86167,5m,tp,0.5,True
14,support_and_resistant,2021-01-05 00:35:00,2021-01-05 00:40:00,32683.55,32846.96775,32574.60483,5m,tp,0.5,True
15,support_and_resistant,2021-01-05 01:30:00,2021-01-05 01:40:00,32675.21,32838.58605,32566.29263,5m,sl,-0.33,True
16,support_and_resistant,2021-01-05 09:15:00,2021-01-05 09:30:00,31391.3,31548.2565,31286.66233,5m,tp,0.5,True
17,support_and_resistant,2021-01-05 15:10:00,2021-01-05 15:20:00,32064.62,32224.9431,31957.73793,5m,tp,0.5,True
18,support_and_resistant,2021-01-05 16:25:00,2021-01-05 17:15:00,32497.86,32660.3493,32389.5338,5m,sl,-0.33,True
19,support_and_resistant,2021-01-05 18:00:00,2021-01-05 18:10:00,32736.77,32900.45385,32627.64743,5m,tp,0.5,True
20,support_and_resistant,2021-01-05 18:55:00,2021-01-05 19:15:00,33372.84,33539.7042,33261.5972,5m,tp,0.5,True
21,support_and_resistant,2021-01-05 19:20:00,2021-01-05 19:25:00,33674.11,33842.48055,33561.86297,5m,tp,0.5,True
22,support_and_resistant,2021-01-06 04:10:00,2021-01-06 04:20:00,34584.92,34757.8446,34469.63693,5m,tp,0.5,True
23,support_and_resistant,2021-01-06 04:35:00,2021-01-06 04:50:00,35232.21,35408.37105,35114.7693,5m,tp,0.5,True
24,support_and_resistant,2021-01-06 17:55:00,2021-01-06 18:00:00,34898.52,35073.0126,34782.1916,5m,tp,0.5,True
25,support_and_resistant,2021-01-06 18:15:00,2021-01-06 18:45:00,35058.2,35233.491,34941.33933,5m,tp,0.5,True
26,support_and_resistant,2021-01-06 21:25:00,2021-01-06 21:35:00,36006.75,36186.78375,35886.7275,5m,tp,0.5,True
27,support_and_resistant,2021-01-06 21:45:00,2021-01-06 22:05:00,35904.22,36083.7411,35784.53927,5m,tp,0.5,True
28,support_and_resistant,2021-01-06 22:20:00,2021-01-06 22:30:00,36140.68,36321.3834,36020.21107,5m,tp,0.5,True
29,support_and_resistant,2021-01-06 22:55:00,2021-01-06 23:00:00,35989.63,36169.57815,35869.66457,5m,tp,0.5,True
30,support_and_resistant,2021-01-06 23:15:00,2021-01-06 23:40:00,36240.45,36421.65225,36119.6485,5m,tp,0.5,True
31,support_and_resistant,2021-01-07 00:00:00,2021-01-07 00:05:00,36691.32,36874.7766,36569.0156,5m,tp,0.5,True
32,support_and_resistant,2021-01-07 00:10:00,2021-01-07 00:20:00,36621.63,36804.73815,36499.5579,5m,tp,0.5,True
33,support_and_resistant,2021-01-07 00:35:00,2021-01-07 00:45:00,37278.65,37465.04325,37154.38783,5m,sl,-0.33,True
34,support_and_resistant,2021-01-07 03:20:00,2021-01-07 03:25:00,37434.3,37621.4715,37309.519,5m,tp,0.5,True
35,support_and_resistant,2021-01-07 09:55:00,2021-01-07 10:00:00,37492.69,37680.15345,37367.71437,5m,sl,-0.33,True
36,support_and_resistant,2021-01-07 12:00:00,2021-01-07 12:05:00,38049.78,38240.0289,37922.9474,5m,sl,-0.33,True
37,support_and_resistant,2021-01-07 12:10:00,2021-01-07 12:55:00,37864.0,38053.32,37737.78667,5m,tp,0.5,True
38,support_and_resistant,2021-01-07 15:50:00,2021-01-07 16:00:00,38899.99,39094.48995,38770.32337,5m,tp,0.5,True
39,support_and_resistant,2021-01-07 16:10:00,2021-01-07 16:15:00,39056.47,39251.75235,38926.28177,5m,tp,0.5,True
40,support_and_resistant,2021-01-07 21:30:00,2021-01-07 21:35:00,39604.35,39802.37175,39472.3355,5m,tp,0.5,True
41,support_and_resistant,2021-01-08 07:40:00,2021-01-08 07:45:00,38873.52,39067.8876,38743.9416,5m,tp,0.5,True
42,support_and_resistant,2021-01-08 10:00:00,2021-01-08 10:05:00,39480.0,39677.4,39348.4,5m,tp,0.5,True
43,support_and_resistant,2021-01-08 10:15:00,2021-01-08 10:25:00,39675.62,39873.9981,39543.36793,5m,tp,0.5,True
44,support_and_resistant,2021-01-09 11:30:00,2021-01-09 11:45:00,41035.49,41240.66745,40898.70503,5m,sl,-0.33,True
45,support_and_resistant,2021-01-09 13:45:00,2021-01-09 14:10:00,41147.17,41352.90585,41010.01277,5m,tp,0.5,True
46,support_and_resistant,2021-01-10 00:55:00,2021-01-10 01:15:00,40581.48,40784.3874,40446.2084,5m,tp,0.5,True
47,support_and_resistant,2021-01-10 01:30:00,2021-01-10 01:45:00,41140.18,41345.8809,41003.04607,5m,tp,0.5,True
