,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,nwe,2021-01-04 07:00:00,2021-01-04 07:30:00,1062.29,1030.4213,1083.5358,30m,tp,3.0,False,
1,nwe,2021-01-04 08:00:00,2021-01-04 08:30:00,1038.97,1007.8009,1059.7494,30m,tp,3.0,False,
2,nwe,2021-01-04 11:30:00,2021-01-04 12:30:00,976.8,1006.104,957.264,30m,tp,3.0,True,
3,nwe,2021-01-08 04:00:00,2021-01-08 07:30:00,1168.21,1203.2563,1144.8458,30m,tp,3.0,True,
4,nwe,2021-01-11 05:00:00,2021-01-11 05:30:00,1121.53,1155.1759,1099.0994,30m,sl,-2.0,True,
5,nwe,2021-01-11 07:30:00,2021-01-11 08:00:00,1071.84,1103.9952,1050.4032,30m,tp,3.0,True,
6,nwe,2021-01-11 08:30:00,2021-01-11 10:00:00,1108.69,1141.9507,1086.5162,30m,tp,3.0,True,
7,nwe,2021-01-11 20:30:00,2021-01-11 22:00:00,1019.94,1050.5382,999.5412,30m,tp,3.0,True,
8,nwe,2021-01-22 01:30:00,2021-01-22 02:00:00,1125.12,1158.8736,1102.6176,30m,tp,3.0,True,
9,nwe,2021-01-22 02:30:00,2021-01-22 11:00:00,1157.59,1192.3177,1134.4382,30m,tp,3.0,True,
10,nwe,2021-02-07 17:30:00,2021-02-07 21:30:00,1555.14,1601.7942,1524.0372,30m,tp,3.0,True,
11,nwe,2021-02-15 03:30:00,2021-02-15 11:00:00,1727.64,1779.4692,1693.0872,30m,tp,3.0,True,
12,nwe,2021-02-21 00:00:00,2021-02-21 10:30:00,1910.58,1967.8974,1872.3684,30m,tp,3.0,True,
13,nwe,2021-02-23 09:30:00,2021-02-23 11:00:00,1500.17,1545.1751,1470.1666,30m,sl,-2.0,True,
14,nwe,2021-02-23 12:30:00,2021-02-23 15:30:00,1529.39,1575.2717,1498.8022,30m,tp,3.0,True,
15,nwe,2021-02-23 21:00:00,2021-02-24 00:00:00,1547.84,1594.2752,1516.8832,30m,sl,-2.0,True,
16,nwe,2021-04-03 00:30:00,2021-04-03 16:00:00,2121.25,2057.6125,2163.675,30m,tp,3.0,False,
17,nwe,2021-04-22 17:30:00,2021-04-22 20:00:00,2526.46,2450.6662,2576.9892,30m,tp,3.0,False,
18,nwe,2021-04-23 03:30:00,2021-04-23 04:30:00,2282.74,2351.2222,2237.0852,30m,sl,-2.0,True,
19,nwe,2021-04-23 09:00:00,2021-04-23 10:00:00,2188.11,2253.7533,2144.3478,30m,tp,3.0,True,
20,nwe,2021-04-26 00:30:00,2021-04-26 06:00:00,2414.43,2486.8629,2366.1414,30m,tp,3.0,True,
21,nwe,2021-05-03 23:30:00,2021-05-04 00:30:00,3431.04,3328.1088,3499.6608,30m,tp,3.0,False,
22,nwe,2021-05-04 01:00:00,2021-05-04 03:00:00,3297.92,3198.9824,3363.8784,30m,tp,3.0,False,
23,nwe,2021-05-04 13:00:00,2021-05-04 14:00:00,3514.49,3409.0553,3584.7798,30m,tp,3.0,False,
24,nwe,2021-05-04 14:30:00,2021-05-04 15:00:00,3370.61,3269.4917,3438.0222,30m,tp,3.0,False,
25,nwe,2021-05-04 17:00:00,2021-05-04 18:30:00,3291.45,3390.1935,3225.621,30m,tp,3.0,True,
26,nwe,2021-05-16 20:00:00,2021-05-16 21:30:00,3389.13,3490.8039,3321.3474,30m,tp,3.0,True,
27,nwe,2021-05-19 14:00:00,2021-05-19 14:30:00,2478.98,2553.3494,2429.4004,30m,tp,3.0,True,
28,nwe,2021-05-20 02:00:00,2021-05-20 03:00:00,2417.98,2490.5194,2369.6204,30m,tp,3.0,True,
29,nwe,2021-06-08 16:30:00,2021-06-08 18:30:00,2408.62,2480.8786,2360.4476,30m,tp,3.0,True,
30,nwe,2021-06-21 12:30:00,2021-06-21 13:30:00,1950.0,2008.5,1911.0,30m,tp,3.0,True,
31,nwe,2021-06-22 15:00:00,2021-06-22 16:00:00,1851.35,1906.8905,1814.323,30m,tp,3.0,True,
32,nwe,2021-07-07 22:30:00,2021-07-08 03:00:00,2325.33,2255.5701,2371.8366,30m,tp,3.0,False,
33,nwe,2021-07-26 07:30:00,2021-07-26 16:00:00,2325.59,2255.8223,2372.1018,30m,sl,-2.0,False,
34,nwe,2021-07-26 20:30:00,2021-07-27 01:00:00,2264.8,2196.856,2310.096,30m,tp,3.0,False,
35,nwe,2021-07-27 03:00:00,2021-07-27 10:30:00,2176.94,2242.2482,2133.4012,30m,tp,3.0,True,
36,nwe,2021-08-07 13:30:00,2021-08-07 23:30:00,3057.03,2965.3191,3118.1706,30m,sl,-2.0,False,
37,nwe,2021-09-07 16:00:00,2021-09-07 16:30:00,3459.55,3563.3365,3390.359,30m,tp,3.0,True,
38,nwe,2021-09-07 17:00:00,2021-09-07 21:00:00,3459.17,3562.9451,3389.9866,30m,sl,-2.0,True,
39,nwe,2021-09-07 22:30:00,2021-09-08 02:00:00,3435.49,3538.5547,3366.7802,30m,tp,3.0,True,
40,nwe,2021-09-08 09:00:00,2021-09-08 16:30:00,3367.85,3468.8855,3300.493,30m,tp,3.0,True,
41,nwe,2021-09-21 01:30:00,2021-09-21 08:30:00,2992.47,3082.2441,2932.6206,30m,tp,3.0,True,
42,nwe,2021-09-21 22:00:00,2021-09-22 01:30:00,2779.52,2862.9056,2723.9296,30m,tp,3.0,True,
43,nwe,2021-09-24 12:30:00,2021-09-24 14:00:00,2805.0,2889.15,2748.9,30m,tp,3.0,True,
44,nwe,2021-09-24 14:30:00,2021-09-26 05:30:00,2897.54,2984.4662,2839.5892,30m,sl,-2.0,True,
45,nwe,2021-09-26 09:00:00,2021-09-26 09:30:00,2870.05,2956.1515,2812.649,30m,tp,3.0,True,
46,nwe,2021-09-26 10:00:00,2021-09-26 14:30:00,2951.87,3040.4261,2892.8326,30m,tp,3.0,True,
47,nwe,2021-10-06 10:30:00,2021-10-06 13:00:00,3375.9,3477.177,3308.382,30m,tp,3.0,True,
48,nwe,2021-10-17 21:30:00,2021-10-18 00:30:00,3764.93,3877.8779,3689.6314,30m,tp,3.0,True,
49,nwe,2021-10-20 11:30:00,2021-10-20 13:30:00,3861.01,3976.8403,3783.7898,30m,tp,3.0,True,
50,nwe,2021-10-21 12:00:00,2021-10-21 15:00:00,4200.2,4074.194,4284.204,30m,tp,3.0,False,
51,nwe,2021-10-27 06:00:00,2021-10-27 08:00:00,4255.94,4128.2618,4341.0588,30m,tp,3.0,False,
52,nwe,2021-11-26 13:00:00,2021-11-27 08:00:00,4044.3,4165.629,3963.414,30m,tp,3.0,True,
53,nwe,2021-12-03 14:30:00,2021-12-03 16:00:00,4521.62,4385.9714,4612.0524,30m,tp,3.0,False,
54,nwe,2021-12-04 06:30:00,2021-12-04 14:30:00,3899.51,4016.4953,3821.5198,30m,tp,3.0,True,
55,nwe,2021-12-06 11:30:00,2021-12-06 16:30:00,4044.41,4165.7423,3963.5218,30m,tp,3.0,True,
56,nwe,2021-12-15 16:30:00,2021-12-15 18:30:00,3715.17,3826.6251,3640.8666,30m,tp,3.0,True,
57,nwe,2021-12-15 19:00:00,2021-12-15 20:00:00,3895.89,4012.7667,3817.9722,30m,tp,3.0,True,
58,nwe,2021-12-15 22:30:00,2021-12-16 15:00:00,4000.9,3880.873,4080.918,30m,sl,-2.0,False,
59,nwe,2021-12-17 16:00:00,2021-12-17 17:30:00,3937.4,4055.522,3858.652,30m,sl,-2.0,True,
