,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,support_and_resistant,2021-01-19 01:00:00,2021-01-19 03:00:00,1304.5,1343.635,1278.41,30m,tp,3.0,True,
1,support_and_resistant,2021-02-08 12:30:00,2021-02-08 16:00:00,1711.04,1762.3712,1676.8192,30m,tp,3.0,True,
2,support_and_resistant,2021-03-03 12:30:00,2021-03-03 13:30:00,1650.1,1699.603,1617.098,30m,sl,-2.0,True,
3,support_and_resistant,2021-03-06 05:30:00,2021-03-06 12:30:00,1574.67,1621.9101,1543.1766,30m,sl,-2.0,True,
4,support_and_resistant,2021-03-13 10:00:00,2021-03-13 12:00:00,1838.94,1894.1082,1802.1612,30m,tp,3.0,True,
5,support_and_resistant,2021-04-14 03:00:00,2021-04-14 21:30:00,2341.59,2411.8377,2294.7582,30m,tp,3.0,True,
6,support_and_resistant,2021-05-03 00:00:00,2021-05-03 05:00:00,2987.86,3077.4958,2928.1028,30m,tp,3.0,True,
7,support_and_resistant,2021-05-08 13:30:00,2021-05-08 16:00:00,3644.12,3753.4436,3571.2376,30m,tp,3.0,True,
8,support_and_resistant,2021-06-28 07:00:00,2021-06-28 08:00:00,2020.99,2081.6197,1980.5702,30m,tp,3.0,True,
9,support_and_resistant,2021-06-29 13:00:00,2021-06-29 22:00:00,2216.01,2282.4903,2171.6898,30m,sl,-2.0,True,
10,support_and_resistant,2021-07-04 05:30:00,2021-07-04 16:00:00,2280.5,2348.915,2234.89,30m,tp,3.0,True,
11,support_and_resistant,2021-07-14 13:00:00,2021-07-15 10:00:00,1984.37,2043.9011,1944.6826,30m,sl,-2.0,True,
12,support_and_resistant,2021-07-18 00:30:00,2021-07-18 14:30:00,1970.24,2029.3472,1930.8352,30m,sl,-2.0,True,
13,support_and_resistant,2021-07-21 04:00:00,2021-07-21 10:00:00,1853.56,1909.1668,1816.4888,30m,tp,3.0,True,
14,support_and_resistant,2021-07-29 23:00:00,2021-07-30 09:00:00,2391.83,2463.5849,2343.9934,30m,sl,-2.0,True,
15,support_and_resistant,2021-08-04 12:30:00,2021-08-04 15:00:00,2588.61,2666.2683,2536.8378,30m,tp,3.0,True,
16,support_and_resistant,2021-08-04 22:00:00,2021-08-05 01:00:00,2756.39,2839.0817,2701.2622,30m,sl,-2.0,True,
17,support_and_resistant,2021-08-27 20:00:00,2021-08-29 03:00:00,3266.79,3364.7937,3201.4542,30m,sl,-2.0,True,
18,support_and_resistant,2021-09-01 16:30:00,2021-09-03 08:30:00,3741.58,3853.8274,3666.7484,30m,tp,3.0,True,
19,support_and_resistant,2021-09-12 08:00:00,2021-09-12 20:30:00,3417.45,3519.9735,3349.101,30m,sl,-2.0,True,
20,support_and_resistant,2021-09-30 00:30:00,2021-09-30 03:30:00,2932.29,3020.2587,2873.6442,30m,tp,3.0,True,
21,support_and_resistant,2021-10-14 11:00:00,2021-10-15 05:30:00,3734.37,3846.4011,3659.6826,30m,tp,3.0,True,
22,support_and_resistant,2021-10-23 15:00:00,2021-10-24 15:00:00,4090.6,4213.318,4008.788,30m,sl,-2.0,True,
23,support_and_resistant,2021-10-28 08:00:00,2021-10-28 17:00:00,4093.02,4215.8106,4011.1596,30m,tp,3.0,True,
24,support_and_resistant,2021-11-25 10:00:00,2021-11-25 14:30:00,4355.18,4485.8354,4268.0764,30m,tp,3.0,True,
25,support_and_resistant,2022-01-02 16:30:00,2022-01-03 16:00:00,3838.62,3953.7786,3761.8476,30m,sl,-2.0,True,
26,support_and_resistant,2022-01-20 13:30:00,2022-01-20 21:30:00,3181.79,3277.2437,3118.1542,30m,sl,-2.0,True,
27,support_and_resistant,2022-02-04 05:00:00,2022-02-04 08:00:00,2764.99,2847.9397,2709.6902,30m,tp,3.0,True,
28,support_and_resistant,2022-02-15 01:30:00,2022-02-15 10:30:00,3021.0,3111.63,2960.58,30m,tp,3.0,True,
29,support_and_resistant,2022-02-15 22:00:00,2022-02-16 14:00:00,3128.77,3222.6331,3066.1946,30m,sl,-2.0,True,
30,support_and_resistant,2022-02-23 04:30:00,2022-02-23 11:00:00,2650.8,2730.324,2597.784,30m,tp,3.0,True,
31,support_and_resistant,2022-03-27 20:30:00,2022-03-28 05:00:00,3238.35,3335.5005,3173.583,30m,tp,3.0,True,
32,support_and_resistant,2022-05-22 09:30:00,2022-05-23 12:00:00,2027.56,2088.3868,1987.0088,30m,tp,3.0,True,
33,support_and_resistant,2022-07-24 05:00:00,2022-07-24 22:30:00,1594.48,1642.3144,1562.5904,30m,tp,3.0,True,
34,support_and_resistant,2022-07-28 02:30:00,2022-07-28 07:30:00,1659.15,1708.9245,1625.967,30m,sl,-2.0,True,
35,support_and_resistant,2022-08-05 11:00:00,2022-08-06 00:00:00,1696.01,1746.8903,1662.0898,30m,tp,3.0,True,
36,support_and_resistant,2022-08-08 08:30:00,2022-08-09 09:30:00,1773.28,1826.4784,1737.8144,30m,sl,-2.0,True,
37,support_and_resistant,2022-08-10 12:30:00,2022-08-10 21:30:00,1823.0,1877.69,1786.54,30m,tp,3.0,True,
38,support_and_resistant,2022-09-07 20:00:00,2022-09-08 07:00:00,1637.94,1687.0782,1605.1812,30m,sl,-2.0,True,
39,support_and_resistant,2022-10-14 01:30:00,2022-10-14 18:30:00,1328.97,1368.8391,1302.3906,30m,sl,-2.0,True,
40,support_and_resistant,2022-10-16 19:30:00,2022-10-20 00:30:00,1308.09,1347.3327,1281.9282,30m,sl,-2.0,True,
41,support_and_resistant,2022-10-23 17:30:00,2022-10-23 22:30:00,1328.69,1368.5507,1302.1162,30m,tp,3.0,True,
42,support_and_resistant,2022-10-26 14:00:00,2022-10-27 10:30:00,1573.75,1620.9625,1542.275,30m,sl,-2.0,True,
43,support_and_resistant,2022-11-10 13:30:00,2022-11-10 15:00:00,1300.09,1339.0927,1274.0882,30m,tp,3.0,True,
44,support_and_resistant,2022-11-19 22:00:00,2022-11-20 10:30:00,1228.27,1265.1181,1203.7046,30m,sl,-2.0,True,
45,support_and_resistant,2022-11-30 00:30:00,2022-12-03 22:30:00,1274.77,1313.0131,1249.2746,30m,sl,-2.0,True,
46,support_and_resistant,2022-12-08 18:30:00,2022-12-09 21:00:00,1287.3,1325.919,1261.554,30m,sl,-2.0,True,
