,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,vwaps,2021-01-02 16:00:00,2021-01-03 05:00:00,767.99,787.80414,754.8042832467339,30m,tp,2.58,True
1,vwaps,2021-01-03 06:00:00,2021-01-03 08:30:00,796.05,815.39402,783.1370796261155,30m,tp,2.43,True
2,vwaps,2021-01-03 10:00:00,2021-01-03 13:00:00,820.12,842.0172,805.4934314924137,30m,tp,2.67,True
3,vwaps,2021-01-05 21:00:00,2021-01-06 11:00:00,1091.28,1147.59005,1053.7791571280204,30m,tp,5.16,True
4,vwaps,2021-01-06 11:30:00,2021-01-06 17:30:00,1151.88,1205.09686,1116.370741465036,30m,tp,4.62,True
5,vwaps,2021-01-07 14:00:00,2021-01-07 16:00:00,1222.99,1264.26591,1195.4534145851492,30m,tp,3.37,True
6,vwaps,2021-01-09 20:30:00,2021-01-10 01:00:00,1271.14,1311.37158,1244.3334153975961,30m,tp,3.16,True
7,vwaps,2021-01-14 10:00:00,2021-01-14 14:30:00,1162.38,1202.83082,1135.4192209635542,30m,tp,3.48,True
8,vwaps,2021-01-16 11:30:00,2021-01-16 15:30:00,1219.0,1256.6671,1193.9484680134835,30m,tp,3.09,True
9,vwaps,2021-01-19 00:30:00,2021-01-19 01:00:00,1261.56,1291.26974,1241.7303475738743,30m,tp,2.36,True
10,vwaps,2021-01-22 14:00:00,2021-01-24 03:30:00,1232.52,1290.01706,1194.1995361697782,30m,tp,4.67,True
11,vwaps,2021-01-24 23:00:00,2021-01-25 00:00:00,1381.13,1422.35673,1353.6053908677666,30m,tp,2.98,True
12,vwaps,2021-01-28 11:00:00,2021-01-28 14:00:00,1298.16,1347.03572,1265.5699820439731,30m,tp,3.76,True
13,vwaps,2021-01-28 15:00:00,2021-01-29 04:00:00,1342.33,1391.25793,1309.684060587848,30m,sl,-2.43,True
14,vwaps,2021-02-01 20:00:00,2021-02-01 22:00:00,1335.36,1360.1977,1318.7736067785504,30m,tp,1.86,True
15,vwaps,2021-02-01 23:00:00,2021-02-02 00:00:00,1365.01,1392.24195,1346.8961573184813,30m,tp,2.0,True
16,vwaps,2021-02-03 15:30:00,2021-02-03 18:00:00,1597.25,1643.72998,1566.230380119499,30m,tp,2.91,True
17,vwaps,2021-02-05 07:30:00,2021-02-05 13:30:00,1662.36,1712.48015,1628.9556308761255,30m,tp,3.01,True
18,vwaps,2021-02-08 09:00:00,2021-02-08 12:30:00,1633.22,1676.33701,1604.4347207428702,30m,tp,2.64,True
19,vwaps,2021-02-09 00:30:00,2021-02-09 08:00:00,1753.07,1809.08059,1715.7613208052476,30m,tp,3.2,True
20,vwaps,2021-02-12 20:30:00,2021-02-13 07:30:00,1848.68,1891.38451,1820.2606344946485,30m,sl,-1.54,True
21,vwaps,2021-02-17 10:30:00,2021-02-17 21:30:00,1806.15,1844.621,1780.4736379654014,30m,tp,2.13,True
22,vwaps,2021-02-17 23:00:00,2021-02-18 01:00:00,1843.81,1876.99858,1821.6337761494883,30m,tp,1.8,True
23,vwaps,2021-02-18 14:30:00,2021-02-19 17:00:00,1924.02,1960.96118,1899.3310884163825,30m,tp,1.92,True
24,vwaps,2021-02-20 04:00:00,2021-02-20 07:30:00,2021.61,2066.48974,1991.7602088407132,30m,sl,-1.48,True
25,vwaps,2021-02-20 08:00:00,2021-02-20 15:00:00,2010.69,2059.54977,1978.1449806396251,30m,sl,-1.62,True
26,vwaps,2021-03-01 13:00:00,2021-03-02 00:00:00,1530.93,1576.39862,1500.5918367177846,30m,tp,2.97,True
27,vwaps,2021-03-02 01:30:00,2021-03-02 16:30:00,1567.91,1617.29916,1534.9482743894314,30m,sl,-2.1,True
28,vwaps,2021-03-05 23:30:00,2021-03-06 05:30:00,1528.31,1567.51115,1502.2465123251447,30m,tp,2.56,True
29,vwaps,2021-03-06 06:30:00,2021-03-06 12:00:00,1578.37,1616.01412,1553.3152002816219,30m,sl,-1.59,True
30,vwaps,2021-03-06 19:00:00,2021-03-06 21:00:00,1616.66,1655.94484,1590.5045495890354,30m,tp,2.43,True
31,vwaps,2021-03-07 08:30:00,2021-03-07 20:00:00,1668.45,1710.49494,1640.472251215109,30m,sl,-1.68,True
32,vwaps,2021-03-07 23:30:00,2021-03-08 07:00:00,1726.16,1766.55214,1699.209472104399,30m,sl,-1.56,True
33,vwaps,2021-03-08 14:30:00,2021-03-08 21:00:00,1733.6,1780.66724,1702.2524159096126,30m,tp,2.72,True
34,vwaps,2021-03-13 09:00:00,2021-03-13 10:00:00,1788.27,1822.33654,1765.6467035231415,30m,tp,1.9,True
35,vwaps,2021-03-17 19:30:00,2021-03-18 11:30:00,1827.36,1861.623,1804.5363858761327,30m,sl,-1.25,True
36,vwaps,2021-03-20 12:00:00,2021-03-20 13:00:00,1836.42,1856.25334,1823.123031606397,30m,tp,1.08,True
37,vwaps,2021-03-20 13:30:00,2021-03-20 20:00:00,1844.02,1869.74408,1826.8289141542473,30m,sl,-0.93,True
38,vwaps,2021-03-24 12:00:00,2021-03-24 16:00:00,1730.97,1761.60817,1710.6307305414784,30m,sl,-1.18,True
39,vwaps,2021-03-26 06:00:00,2021-03-26 13:30:00,1617.34,1647.17992,1597.490694801629,30m,tp,1.84,True
40,vwaps,2021-03-26 17:30:00,2021-03-26 21:30:00,1663.67,1691.37011,1645.2122815095274,30m,tp,1.67,True
41,vwaps,2021-03-27 18:30:00,2021-03-27 21:30:00,1704.54,1728.31833,1688.6308085898543,30m,tp,1.39,True
42,vwaps,2021-03-27 22:00:00,2021-03-28 12:00:00,1715.83,1740.0232,1699.7668285647653,30m,sl,-0.94,True
43,vwaps,2021-03-30 08:30:00,2021-03-30 10:00:00,1814.31,1842.34109,1795.6123133475173,30m,tp,1.55,True
44,vwaps,2021-03-30 10:30:00,2021-03-31 07:30:00,1836.22,1865.69133,1816.5982140649326,30m,sl,-1.07,True
45,vwaps,2021-04-01 20:00:00,2021-04-02 14:00:00,1976.74,2024.18176,1945.0926851480747,30m,tp,2.4,True
46,vwaps,2021-04-02 20:00:00,2021-04-02 23:00:00,2076.01,2117.7378,2048.271334031304,30m,tp,2.01,True
47,vwaps,2021-04-08 17:00:00,2021-04-09 10:00:00,2063.82,2099.11132,2040.306782482201,30m,tp,1.71,True
48,vwaps,2021-04-13 09:30:00,2021-04-13 14:30:00,2216.05,2258.59816,2187.7456044513588,30m,tp,1.92,True
49,vwaps,2021-04-13 15:30:00,2021-04-13 18:00:00,2275.7,2316.32124,2248.7266814660456,30m,tp,1.78,True
50,vwaps,2021-04-15 20:00:00,2021-04-15 23:00:00,2493.9,2540.66062,2462.7553700440703,30m,tp,1.87,True
51,vwaps,2021-04-20 17:30:00,2021-04-21 00:00:00,2269.88,2350.57423,2216.099393283719,30m,tp,3.55,True
52,vwaps,2021-04-21 00:30:00,2021-04-21 12:30:00,2285.99,2365.88535,2232.7748949299007,30m,tp,3.49,True
