,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,support_and_resistant,2021-01-01 15:15:00,2021-01-01 17:00:00,1.6518,1.68484,1.62978,15m,tp,2.0,True,
1,support_and_resistant,2021-01-01 22:00:00,2021-01-01 23:15:00,1.7858,1.82152,1.76199,15m,tp,2.0,True,
2,support_and_resistant,2021-01-05 00:30:00,2021-01-05 00:45:00,2.4912,2.54102,2.45798,15m,sl,-1.33,True,
3,support_and_resistant,2021-01-07 03:00:00,2021-01-07 03:30:00,2.1989,2.24288,2.16958,15m,tp,2.0,True,
4,support_and_resistant,2021-01-07 03:45:00,2021-01-07 04:00:00,2.1755,2.21901,2.14649,15m,tp,2.0,True,
5,support_and_resistant,2021-01-07 13:00:00,2021-01-07 13:15:00,2.4601,2.5093,2.4273,15m,sl,-1.33,True,
6,support_and_resistant,2021-01-09 18:45:00,2021-01-09 19:15:00,3.385,3.4527,3.33987,15m,tp,2.0,True,
7,support_and_resistant,2021-01-09 19:45:00,2021-01-09 20:45:00,3.6238,3.69628,3.57548,15m,sl,-1.33,True,
8,support_and_resistant,2021-01-10 03:30:00,2021-01-10 06:00:00,3.5379,3.60866,3.49073,15m,tp,2.0,True,
9,support_and_resistant,2021-01-10 07:30:00,2021-01-10 08:30:00,3.6887,3.76247,3.63952,15m,sl,-1.33,True,
10,support_and_resistant,2021-01-12 18:45:00,2021-01-12 19:15:00,3.7671,3.84244,3.71687,15m,sl,-1.33,True,
11,support_and_resistant,2021-01-16 08:30:00,2021-01-16 09:45:00,3.4756,3.54511,3.42926,15m,tp,2.0,True,
12,support_and_resistant,2021-01-17 16:15:00,2021-01-17 16:30:00,3.5666,3.63793,3.51905,15m,tp,2.0,True,
13,support_and_resistant,2021-01-17 17:15:00,2021-01-17 17:30:00,3.7124,3.78665,3.6629,15m,tp,2.0,True,
14,support_and_resistant,2021-01-20 17:15:00,2021-01-20 19:45:00,3.5977,3.66965,3.54973,15m,tp,2.0,True,
15,support_and_resistant,2021-01-20 20:00:00,2021-01-21 00:30:00,3.6837,3.75737,3.63458,15m,sl,-1.33,True,
16,support_and_resistant,2021-01-22 10:45:00,2021-01-22 12:30:00,3.2016,3.26563,3.15891,15m,tp,2.0,True,
17,support_and_resistant,2021-01-23 04:15:00,2021-01-23 07:15:00,3.4609,3.53012,3.41475,15m,tp,2.0,True,
18,support_and_resistant,2021-01-24 05:45:00,2021-01-24 09:30:00,3.6884,3.76217,3.63922,15m,tp,2.0,True,
19,support_and_resistant,2021-01-25 18:15:00,2021-01-25 18:45:00,3.8318,3.90844,3.78071,15m,tp,2.0,True,
20,support_and_resistant,2021-01-25 19:00:00,2021-01-25 19:45:00,3.9541,4.03318,3.90138,15m,sl,-1.33,True,
21,support_and_resistant,2021-01-26 17:45:00,2021-01-26 20:00:00,3.951,4.03002,3.89832,15m,tp,2.0,True,
22,support_and_resistant,2021-01-28 03:30:00,2021-01-28 10:00:00,3.725,3.7995,3.67533,15m,tp,2.0,True,
23,support_and_resistant,2021-01-28 14:15:00,2021-01-28 20:30:00,3.8963,3.97423,3.84435,15m,sl,-1.33,True,
24,support_and_resistant,2021-01-29 13:30:00,2021-01-29 18:15:00,3.81,3.8862,3.7592,15m,sl,-1.33,True,
25,support_and_resistant,2021-01-31 03:30:00,2021-01-31 04:00:00,4.285,4.3707,4.22787,15m,tp,2.0,True,
26,support_and_resistant,2021-01-31 05:45:00,2021-01-31 06:15:00,4.431,4.51962,4.37192,15m,tp,2.0,True,
27,support_and_resistant,2021-01-31 06:45:00,2021-01-31 08:30:00,4.5143,4.60459,4.45411,15m,tp,2.0,True,
