,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,vwaps,2021-03-24 23:15:00,2021-03-25 00:30:00,13.7089,13.98308,13.52611,15m,sl,-1.33,True,
1,vwaps,2021-03-25 00:45:00,2021-03-25 01:30:00,13.5485,13.81947,13.36785,15m,sl,-1.33,True,
2,vwaps,2021-03-25 01:45:00,2021-03-25 02:15:00,13.0105,13.27071,12.83703,15m,tp,2.0,True,
3,vwaps,2021-06-21 03:30:00,2021-06-21 04:00:00,32.847,33.50394,32.40904,15m,sl,-1.33,True,
4,vwaps,2021-06-21 07:15:00,2021-06-21 07:30:00,31.007,31.62714,30.59357,15m,sl,-1.33,True,
5,vwaps,2021-08-08 15:30:00,2021-08-08 17:00:00,37.737,38.49174,37.23384,15m,sl,-1.33,True,
6,vwaps,2021-08-24 16:45:00,2021-08-24 20:30:00,70.777,72.19254,69.83331,15m,tp,2.0,True,
7,vwaps,2021-08-26 07:15:00,2021-08-26 12:15:00,67.62,68.9724,66.7184,15m,tp,2.0,True,
8,vwaps,2021-09-21 20:30:00,2021-09-21 21:00:00,122.45,124.899,120.81733,15m,sl,-1.33,True,
9,vwaps,2021-11-10 21:30:00,2021-11-10 21:45:00,231.41,236.0382,228.32453,15m,sl,-1.33,True,
10,vwaps,2021-11-18 05:45:00,2021-11-18 09:15:00,213.51,217.7802,210.6632,15m,sl,-1.33,True,
11,vwaps,2021-11-18 10:15:00,2021-11-18 13:15:00,208.94,213.1188,206.15413,15m,sl,-1.33,True,
12,vwaps,2021-12-28 02:30:00,2021-12-28 03:00:00,190.37,194.1774,187.83173,15m,sl,-1.33,True,
13,vwaps,2022-01-19 08:00:00,2022-01-19 13:15:00,134.66,137.3532,132.86453,15m,tp,2.0,True,
14,vwaps,2022-01-20 22:45:00,2022-01-20 23:15:00,132.05,134.691,130.28933,15m,sl,-1.33,True,
15,vwaps,2022-01-21 00:15:00,2022-01-21 01:00:00,128.12,130.6824,126.41173,15m,sl,-1.33,True,
16,vwaps,2022-01-23 19:45:00,2022-01-23 20:00:00,94.75,96.645,93.48667,15m,tp,2.0,True,
17,vwaps,2022-01-23 20:15:00,2022-01-23 23:00:00,95.27,97.1754,93.99973,15m,tp,2.0,True,
18,vwaps,2022-01-27 02:45:00,2022-01-27 03:30:00,88.01,89.7702,86.83653,15m,sl,-1.33,True,
19,vwaps,2022-02-27 20:15:00,2022-02-28 02:15:00,84.96,86.6592,83.8272,15m,tp,2.0,True,
20,vwaps,2022-04-18 00:00:00,2022-04-18 04:15:00,100.48,102.4896,99.14027,15m,sl,-1.33,True,
21,vwaps,2022-04-21 21:00:00,2022-04-21 22:15:00,102.42,104.4684,101.0544,15m,sl,-1.33,True,
22,vwaps,2022-04-21 22:30:00,2022-04-22 14:15:00,101.59,103.6218,100.23547,15m,sl,-1.33,True,
23,vwaps,2022-05-02 10:45:00,2022-05-02 16:45:00,87.76,89.5152,86.58987,15m,sl,-1.33,True,
24,vwaps,2022-06-28 16:45:00,2022-06-28 18:00:00,36.85,37.587,36.35867,15m,sl,-1.33,True,
25,vwaps,2022-06-28 18:15:00,2022-06-28 21:15:00,35.97,36.6894,35.4904,15m,tp,2.0,True,
26,vwaps,2022-07-25 02:30:00,2022-07-25 03:15:00,38.74,39.5148,38.22347,15m,sl,-1.33,True,
27,vwaps,2022-08-03 01:00:00,2022-08-03 01:15:00,37.91,38.6682,37.40453,15m,tp,2.0,True,
28,vwaps,2022-08-22 08:45:00,2022-08-22 20:00:00,34.4,35.088,33.94133,15m,tp,2.0,True,
29,vwaps,2022-09-21 22:00:00,2022-09-22 01:15:00,30.3,30.906,29.896,15m,tp,2.0,True,
30,vwaps,2022-09-30 23:00:00,2022-10-01 20:00:00,32.96,33.6192,32.52053,15m,sl,-1.33,True,
31,vwaps,2022-12-07 08:00:00,2022-12-08 05:30:00,13.52,13.7904,13.33973,15m,sl,-1.33,True,
32,vwaps,2022-12-11 23:30:00,2022-12-12 02:45:00,13.4,13.668,13.22133,15m,sl,-1.33,True,
33,vwaps,2022-12-30 09:15:00,2022-12-30 12:30:00,9.15,9.333,9.028,15m,tp,2.0,True,
34,vwaps,2023-04-08 18:45:00,2023-04-10 17:00:00,20.15,20.553,19.88133,15m,tp,2.0,True,
35,vwaps,2023-05-08 02:30:00,2023-05-08 17:45:00,21.22,21.6444,20.93707,15m,sl,-1.33,True,
36,vwaps,2023-06-13 16:00:00,2023-06-14 01:45:00,14.91,15.2082,14.7112,15m,tp,2.0,True,
37,vwaps,2023-06-14 21:00:00,2023-06-15 00:30:00,14.3,14.586,14.10933,15m,tp,2.0,True,
38,vwaps,2023-07-31 16:15:00,2023-07-31 19:45:00,24.03,24.5106,23.7096,15m,sl,-1.33,True,
