,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,hit_and_run,2021-01-06 01:00:00,2021-01-06 02:00:00,2.1212,2.18484,2.07878,30m,sl,-2.0,True
1,hit_and_run,2021-01-06 02:30:00,2021-01-06 03:00:00,2.0712,2.13334,2.02978,30m,sl,-2.0,True
2,hit_and_run,2021-01-06 03:30:00,2021-01-06 04:00:00,1.9893,2.04898,1.94951,30m,tp,3.0,True
3,hit_and_run,2021-01-06 04:30:00,2021-01-06 08:00:00,2.0296,2.09049,1.98901,30m,sl,-2.0,True
4,hit_and_run,2021-01-06 08:30:00,2021-01-06 10:30:00,2.0287,2.08956,1.98813,30m,tp,3.0,True
5,hit_and_run,2021-01-06 19:30:00,2021-01-06 20:30:00,1.981,2.04043,1.94138,30m,tp,3.0,True
6,hit_and_run,2021-01-06 21:00:00,2021-01-06 21:30:00,1.975,2.03425,1.9355,30m,tp,3.0,True
7,hit_and_run,2021-01-06 22:00:00,2021-01-06 23:30:00,1.9815,2.04095,1.94187,30m,sl,-2.0,True
8,hit_and_run,2021-01-07 00:00:00,2021-01-07 00:30:00,2.1512,2.21574,2.10818,30m,tp,3.0,True
9,hit_and_run,2021-01-11 07:00:00,2021-01-11 08:00:00,2.9635,3.0524,2.90423,30m,tp,3.0,True
10,hit_and_run,2021-01-11 11:00:00,2021-01-11 11:30:00,2.95,3.0385,2.891,30m,sl,-2.0,True
11,hit_and_run,2021-01-11 12:00:00,2021-01-11 13:00:00,2.9408,3.02902,2.88198,30m,sl,-2.0,True
12,hit_and_run,2021-01-11 13:30:00,2021-01-11 15:00:00,2.8005,2.88452,2.74449,30m,tp,3.0,True
13,hit_and_run,2021-01-11 15:30:00,2021-01-11 16:00:00,2.7598,2.84259,2.7046,30m,sl,-2.0,True
14,hit_and_run,2021-01-11 16:30:00,2021-01-11 17:00:00,2.6723,2.75247,2.61885,30m,tp,3.0,True
15,hit_and_run,2021-01-11 17:30:00,2021-01-11 18:30:00,2.7919,2.87566,2.73606,30m,tp,3.0,True
16,hit_and_run,2021-01-20 03:30:00,2021-01-20 10:30:00,3.5447,3.65104,3.47381,30m,sl,-2.0,True
17,hit_and_run,2021-01-20 11:00:00,2021-01-20 13:30:00,3.3914,3.49314,3.32357,30m,tp,3.0,True
18,hit_and_run,2021-01-21 09:30:00,2021-01-21 11:30:00,3.4198,3.52239,3.3514,30m,tp,3.0,True
19,hit_and_run,2021-01-21 12:00:00,2021-01-21 14:00:00,3.42,3.5226,3.3516,30m,sl,-2.0,True
20,hit_and_run,2021-01-21 14:30:00,2021-01-21 21:00:00,3.3149,3.41435,3.2486,30m,sl,-2.0,True
21,hit_and_run,2021-01-21 21:30:00,2021-01-21 22:00:00,3.1446,3.23894,3.08171,30m,sl,-2.0,True
22,hit_and_run,2021-01-21 22:30:00,2021-01-22 00:00:00,3.0347,3.12574,2.97401,30m,sl,-2.0,True
23,hit_and_run,2021-01-22 00:30:00,2021-01-22 01:00:00,2.7281,2.80994,2.67354,30m,sl,-2.0,True
24,hit_and_run,2021-01-22 01:30:00,2021-01-22 02:00:00,2.927,3.01481,2.86846,30m,tp,3.0,True
25,hit_and_run,2021-01-27 09:30:00,2021-01-28 06:00:00,3.6851,3.79565,3.6114,30m,tp,3.0,True
26,hit_and_run,2021-01-29 05:30:00,2021-01-29 12:30:00,3.659,3.76877,3.58582,30m,tp,3.0,True
