,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long,message
0,nwe,2021-01-08 07:30:00,2021-01-08 09:00:00,2.4095,2.48178,2.36131,30m,tp,3.0,True,
1,nwe,2021-01-08 13:30:00,2021-01-08 14:00:00,3.5802,3.47279,3.6518,30m,tp,3.0,False,
2,nwe,2021-01-08 14:30:00,2021-01-08 15:00:00,3.4139,3.31148,3.48218,30m,tp,3.0,False,
3,nwe,2021-01-08 15:30:00,2021-01-08 16:00:00,3.2992,3.20022,3.36518,30m,sl,-2.0,False,
4,nwe,2021-01-08 16:30:00,2021-01-08 18:00:00,3.4139,3.31148,3.48218,30m,tp,3.0,False,
5,nwe,2021-01-11 18:00:00,2021-01-11 19:00:00,2.8622,2.94807,2.80496,30m,sl,-2.0,True,
6,nwe,2021-01-12 19:30:00,2021-01-12 20:00:00,3.6777,3.56737,3.75125,30m,tp,3.0,False,
7,nwe,2021-01-22 01:30:00,2021-01-22 02:00:00,2.927,3.01481,2.86846,30m,tp,3.0,True,
8,nwe,2021-01-22 02:30:00,2021-01-22 03:30:00,3.0708,3.16292,3.00938,30m,tp,3.0,True,
9,nwe,2021-01-31 10:00:00,2021-01-31 12:30:00,4.6423,4.50303,4.73515,30m,tp,3.0,False,
10,nwe,2021-02-19 05:30:00,2021-02-19 06:00:00,8.6278,8.88663,8.45524,30m,tp,3.0,True,
11,nwe,2021-02-19 06:30:00,2021-02-19 09:30:00,9.3211,9.60073,9.13468,30m,tp,3.0,True,
12,nwe,2021-02-19 15:00:00,2021-02-19 16:30:00,10.8768,10.5505,11.09434,30m,sl,-2.0,False,
13,nwe,2021-02-19 19:30:00,2021-02-19 21:00:00,11.4696,11.12551,11.69899,30m,tp,3.0,False,
14,nwe,2021-02-21 19:30:00,2021-02-21 20:30:00,11.3097,10.97041,11.53589,30m,tp,3.0,False,
15,nwe,2021-02-22 13:30:00,2021-02-22 14:00:00,9.8181,10.11264,9.62174,30m,tp,3.0,True,
16,nwe,2021-02-22 15:00:00,2021-02-22 16:00:00,10.1703,10.47541,9.96689,30m,tp,3.0,True,
17,nwe,2021-02-23 01:00:00,2021-02-23 01:30:00,14.2851,13.85655,14.5708,30m,tp,3.0,False,
18,nwe,2021-02-23 02:00:00,2021-02-23 04:30:00,13.7242,13.31247,13.99868,30m,tp,3.0,False,
19,nwe,2021-02-23 10:00:00,2021-02-23 10:30:00,13.5238,13.92951,13.25332,30m,tp,3.0,True,
20,nwe,2021-03-22 07:00:00,2021-03-22 13:30:00,16.2692,15.78112,16.59458,30m,tp,3.0,False,
21,nwe,2021-03-25 03:00:00,2021-03-25 12:00:00,13.3736,13.77481,13.10613,30m,sl,-2.0,True,
22,nwe,2021-03-30 07:30:00,2021-03-30 14:00:00,20.3683,19.75725,20.77567,30m,tp,3.0,False,
23,nwe,2021-04-03 19:00:00,2021-04-03 20:30:00,22.2364,22.90349,21.79167,30m,sl,-2.0,True,
24,nwe,2021-04-07 12:30:00,2021-04-07 13:30:00,25.0272,25.77802,24.52666,30m,tp,3.0,True,
25,nwe,2021-04-18 05:00:00,2021-04-18 06:30:00,24.321,25.05063,23.83458,30m,tp,3.0,True,
26,nwe,2021-04-23 09:00:00,2021-04-23 10:00:00,33.9067,34.9239,33.22857,30m,tp,3.0,True,
27,nwe,2021-05-12 23:00:00,2021-05-12 23:30:00,45.739,44.36683,46.65378,30m,tp,3.0,False,
28,nwe,2021-05-13 00:00:00,2021-05-13 02:30:00,44.5,43.165,45.39,30m,tp,3.0,False,
29,nwe,2021-05-13 18:30:00,2021-05-13 19:00:00,38.3,39.449,37.534,30m,tp,3.0,True,
30,nwe,2021-05-13 20:00:00,2021-05-13 21:00:00,40.141,41.34523,39.33818,30m,tp,3.0,True,
31,nwe,2021-05-15 18:30:00,2021-05-15 21:00:00,41.496,42.74088,40.66608,30m,tp,3.0,True,
32,nwe,2021-05-16 15:00:00,2021-05-16 16:00:00,49.616,48.12752,50.60832,30m,tp,3.0,False,
33,nwe,2021-05-16 20:00:00,2021-05-16 21:00:00,43.2,44.496,42.336,30m,tp,3.0,True,
34,nwe,2021-05-19 14:00:00,2021-05-19 14:30:00,39.776,40.96928,38.98048,30m,tp,3.0,True,
35,nwe,2021-05-20 02:00:00,2021-05-20 02:30:00,36.756,37.85868,36.02088,30m,tp,3.0,True,
36,nwe,2021-05-20 03:00:00,2021-05-20 05:00:00,36.817,37.92151,36.08066,30m,tp,3.0,True,
37,nwe,2021-06-08 08:00:00,2021-06-08 08:30:00,38.123,39.26669,37.36054,30m,sl,-2.0,True,
38,nwe,2021-06-08 16:00:00,2021-06-08 18:00:00,37.138,38.25214,36.39524,30m,tp,3.0,True,
39,nwe,2021-06-22 12:30:00,2021-06-22 13:00:00,22.251,22.91853,21.80598,30m,tp,3.0,True,
40,nwe,2021-06-22 13:30:00,2021-06-22 14:00:00,21.005,21.63515,20.5849,30m,tp,3.0,True,
41,nwe,2021-06-22 14:30:00,2021-06-22 15:00:00,24.503,25.23809,24.01294,30m,tp,3.0,True,
42,nwe,2021-06-22 15:30:00,2021-06-22 16:00:00,25.66,26.4298,25.1468,30m,tp,3.0,True,
43,nwe,2021-07-01 00:30:00,2021-07-01 02:30:00,35.223,34.16631,35.92746,30m,tp,3.0,False,
44,nwe,2021-07-07 23:30:00,2021-07-08 03:00:00,36.673,35.57281,37.40646,30m,tp,3.0,False,
45,nwe,2021-07-14 10:00:00,2021-07-14 13:00:00,29.164,30.03892,28.58072,30m,tp,3.0,True,
46,nwe,2021-07-26 03:00:00,2021-07-26 08:00:00,30.241,29.33377,30.84582,30m,tp,3.0,False,
47,nwe,2021-08-16 15:30:00,2021-08-16 16:30:00,67.077,65.06469,68.41854,30m,sl,-2.0,False,
48,nwe,2021-08-17 01:00:00,2021-08-17 01:30:00,66.283,68.27149,64.95734,30m,tp,3.0,True,
49,nwe,2021-08-17 04:00:00,2021-08-17 06:00:00,70.408,68.29576,71.81616,30m,sl,-2.0,False,
50,nwe,2021-08-17 09:00:00,2021-08-17 10:00:00,73.334,71.13398,74.80068,30m,tp,3.0,False,
51,nwe,2021-08-17 10:30:00,2021-08-17 13:00:00,70.438,68.32486,71.84676,30m,tp,3.0,False,
52,nwe,2021-08-17 21:30:00,2021-08-17 22:30:00,64.3,66.229,63.014,30m,tp,3.0,True,
53,nwe,2021-08-18 02:00:00,2021-08-18 04:00:00,65.294,67.25282,63.98812,30m,tp,3.0,True,
54,nwe,2021-08-18 12:30:00,2021-08-18 13:30:00,76.0,73.72,77.52,30m,sl,-2.0,False,
55,nwe,2021-08-18 14:30:00,2021-08-18 16:00:00,78.423,76.07031,79.99146,30m,tp,3.0,False,
56,nwe,2021-08-18 16:30:00,2021-08-18 18:00:00,78.05,75.7085,79.611,30m,tp,3.0,False,
57,nwe,2021-08-31 13:30:00,2021-08-31 14:30:00,125.68,121.9096,128.1936,30m,tp,3.0,False,
58,nwe,2021-09-07 06:30:00,2021-09-07 07:00:00,183.57,178.0629,187.2414,30m,sl,-2.0,False,
59,nwe,2021-09-07 07:30:00,2021-09-07 08:00:00,187.85,182.2145,191.607,30m,tp,3.0,False,
60,nwe,2021-09-07 08:30:00,2021-09-07 09:00:00,177.66,172.3302,181.2132,30m,sl,-2.0,False,
61,nwe,2021-09-07 16:00:00,2021-09-07 16:30:00,185.79,191.3637,182.0742,30m,sl,-2.0,True,
62,nwe,2021-09-07 17:30:00,2021-09-07 18:00:00,173.13,167.9361,176.5926,30m,tp,3.0,False,
63,nwe,2021-09-08 09:00:00,2021-09-08 10:00:00,161.42,166.2626,158.1916,30m,tp,3.0,True,
64,nwe,2021-09-08 15:00:00,2021-09-08 15:30:00,161.76,166.6128,158.5248,30m,tp,3.0,True,
65,nwe,2021-09-08 16:00:00,2021-09-08 16:30:00,164.67,169.6101,161.3766,30m,tp,3.0,True,
66,nwe,2021-09-08 17:00:00,2021-09-08 18:00:00,172.35,177.5205,168.903,30m,tp,3.0,True,
67,nwe,2021-09-08 18:30:00,2021-09-08 19:00:00,183.11,188.6033,179.4478,30m,tp,3.0,True,
68,nwe,2021-09-14 22:30:00,2021-09-14 23:30:00,152.67,157.2501,149.6166,30m,tp,3.0,True,
69,nwe,2021-09-21 21:30:00,2021-09-21 22:30:00,127.06,130.8718,124.5188,30m,sl,-2.0,True,
70,nwe,2021-10-12 14:00:00,2021-10-12 15:00:00,144.37,148.7011,141.4826,30m,sl,-2.0,True,
71,nwe,2021-10-15 07:30:00,2021-10-16 21:30:00,161.57,156.7229,164.8014,30m,tp,3.0,False,
72,nwe,2021-11-03 18:00:00,2021-11-03 20:00:00,232.22,239.1866,227.5756,30m,tp,3.0,True,
73,nwe,2021-11-03 22:30:00,2021-11-04 05:30:00,243.04,235.7488,247.9008,30m,tp,3.0,False,
74,nwe,2021-11-10 22:30:00,2021-11-11 05:00:00,233.71,240.7213,229.0358,30m,tp,3.0,True,
75,nwe,2021-11-21 22:00:00,2021-11-22 01:00:00,230.87,223.9439,235.4874,30m,tp,3.0,False,
76,nwe,2021-12-03 14:30:00,2021-12-03 15:30:00,230.55,223.6335,235.161,30m,tp,3.0,False,
77,nwe,2021-12-04 06:30:00,2021-12-04 08:00:00,190.4,196.112,186.592,30m,tp,3.0,True,
78,nwe,2021-12-15 16:30:00,2021-12-15 17:00:00,161.39,166.2317,158.1622,30m,tp,3.0,True,
79,nwe,2021-12-15 17:30:00,2021-12-15 18:30:00,166.44,171.4332,163.1112,30m,tp,3.0,True,
80,nwe,2021-12-15 22:00:00,2021-12-16 09:00:00,177.24,171.9228,180.7848,30m,sl,-2.0,False,
81,nwe,2022-01-05 23:30:00,2022-01-06 02:00:00,154.52,159.1556,151.4296,30m,sl,-2.0,True,
82,nwe,2022-01-08 20:00:00,2022-01-08 21:00:00,136.83,140.9349,134.0934,30m,tp,3.0,True,
83,nwe,2022-01-13 16:00:00,2022-01-13 17:00:00,154.51,149.8747,157.6002,30m,tp,3.0,False,
84,nwe,2022-01-20 16:30:00,2022-01-20 20:30:00,142.67,138.3899,145.5234,30m,tp,3.0,False,
85,nwe,2022-01-21 03:00:00,2022-01-21 12:00:00,124.04,127.7612,121.5592,30m,sl,-2.0,True,
86,nwe,2022-01-22 00:00:00,2022-01-22 05:00:00,111.63,114.9789,109.3974,30m,sl,-2.0,True,
87,nwe,2022-01-22 06:00:00,2022-01-22 08:00:00,100.51,97.4947,102.5202,30m,sl,-2.0,False,
88,nwe,2022-01-22 20:30:00,2022-01-22 22:30:00,95.64,98.5092,93.7272,30m,sl,-2.0,True,
89,nwe,2022-02-02 20:30:00,2022-02-02 21:00:00,104.22,101.0934,106.3044,30m,tp,3.0,False,
90,nwe,2022-02-11 21:30:00,2022-02-12 06:00:00,97.4,100.322,95.452,30m,sl,-2.0,True,
91,nwe,2022-02-24 05:00:00,2022-02-24 06:00:00,79.25,81.6275,77.665,30m,tp,3.0,True,
92,nwe,2022-03-04 19:00:00,2022-03-05 00:30:00,89.57,86.8829,91.3614,30m,tp,3.0,False,
93,nwe,2022-03-07 15:30:00,2022-03-07 18:30:00,85.06,82.5082,86.7612,30m,tp,3.0,False,
94,nwe,2022-03-30 18:00:00,2022-03-30 22:00:00,122.79,119.1063,125.2458,30m,tp,3.0,False,
95,nwe,2022-04-01 04:00:00,2022-04-01 07:30:00,122.49,126.1647,120.0402,30m,tp,3.0,True,
96,nwe,2022-04-12 14:30:00,2022-04-12 18:30:00,105.68,102.5096,107.7936,30m,tp,3.0,False,
97,nwe,2022-04-18 06:00:00,2022-04-18 17:00:00,97.24,100.1572,95.2952,30m,tp,3.0,True,
98,nwe,2022-05-01 00:00:00,2022-05-01 03:00:00,84.77,87.3131,83.0746,30m,tp,3.0,True,
99,nwe,2022-05-05 19:00:00,2022-05-05 20:30:00,82.22,84.6866,80.5756,30m,tp,3.0,True,
100,nwe,2022-05-10 01:00:00,2022-05-10 04:30:00,65.42,67.3826,64.1116,30m,tp,3.0,True,
101,nwe,2022-05-11 11:00:00,2022-05-11 11:30:00,63.74,61.8278,65.0148,30m,tp,3.0,False,
102,nwe,2022-05-11 14:00:00,2022-05-11 14:30:00,56.84,58.5452,55.7032,30m,tp,3.0,True,
103,nwe,2022-05-11 22:00:00,2022-05-11 23:00:00,48.08,49.5224,47.1184,30m,tp,3.0,True,
104,nwe,2022-05-12 08:00:00,2022-05-12 09:30:00,44.16,45.4848,43.2768,30m,sl,-2.0,True,
