,strategy,entry_date,out_date,enter_price,tp,sl,interval,status,change,strategy_long
0,vwaps,2021-01-07 13:00:00,2021-01-08 09:30:00,2.3733,2.68195,2.167469461438234,30m,tp,13.01,True
1,vwaps,2021-01-10 03:30:00,2021-01-10 11:00:00,3.5265,3.75819,3.3721857923580587,30m,sl,-4.38,True
2,vwaps,2021-01-23 05:30:00,2021-01-23 09:30:00,3.4894,3.59879,3.416630334326352,30m,tp,3.13,True
3,vwaps,2021-01-24 02:30:00,2021-01-24 05:00:00,3.5298,3.62669,3.4651199214478177,30m,tp,2.74,True
4,vwaps,2021-01-26 18:30:00,2021-01-27 05:00:00,3.9363,4.15713,3.7889079141128024,30m,sl,-3.74,True
5,vwaps,2021-01-28 06:30:00,2021-01-28 13:30:00,3.777,3.88294,3.7065084628803584,30m,tp,2.8,True
6,vwaps,2021-01-30 00:30:00,2021-01-30 14:00:00,3.8721,3.99349,3.79114710395234,30m,tp,3.13,True
7,vwaps,2021-02-01 19:00:00,2021-02-01 23:00:00,4.4169,4.55537,4.324787056755431,30m,tp,3.14,True
8,vwaps,2021-02-02 00:30:00,2021-02-02 02:00:00,4.4908,4.64304,4.389114302269974,30m,tp,3.39,True
9,vwaps,2021-02-02 22:00:00,2021-02-02 23:30:00,5.3839,5.59468,5.243418916671862,30m,sl,-2.61,True
10,vwaps,2021-02-04 02:00:00,2021-02-04 07:30:00,5.9858,6.195,5.8462704555303375,30m,sl,-2.33,True
11,vwaps,2021-02-04 20:00:00,2021-02-04 21:30:00,5.9787,6.17241,5.84937956089629,30m,tp,3.24,True
12,vwaps,2021-02-07 10:30:00,2021-02-07 11:30:00,6.3954,6.68319,6.2032845457910595,30m,tp,4.5,True
13,vwaps,2021-02-07 22:00:00,2021-02-08 04:00:00,6.4747,6.80879,6.252203395188357,30m,tp,5.16,True
14,vwaps,2021-02-08 07:30:00,2021-02-08 12:30:00,7.5587,7.92152,7.316828984889336,30m,sl,-3.2,True
15,vwaps,2021-02-08 19:00:00,2021-02-09 02:30:00,8.0418,8.48329,7.747294170394271,30m,tp,5.49,True
16,vwaps,2021-02-10 08:00:00,2021-02-10 12:30:00,8.2704,8.55697,8.07973507996522,30m,sl,-2.31,True
17,vwaps,2021-02-12 04:00:00,2021-02-12 11:00:00,9.2735,9.66855,9.01058750726404,30m,tp,4.26,True
18,vwaps,2021-02-18 05:30:00,2021-02-18 12:00:00,8.6048,8.83455,8.451899221826555,30m,sl,-1.78,True
19,vwaps,2021-02-19 08:00:00,2021-02-19 11:30:00,9.5065,9.85586,9.273871849731146,30m,tp,3.67,True
20,vwaps,2021-02-21 14:00:00,2021-02-21 17:30:00,10.632,11.03229,10.365012464152109,30m,tp,3.76,True
21,vwaps,2021-02-21 18:00:00,2021-02-21 20:00:00,11.5327,12.00842,11.215624985225046,30m,sl,-2.75,True
22,vwaps,2021-02-22 18:00:00,2021-02-22 19:00:00,12.0962,13.13405,11.404256617847647,30m,tp,8.58,True
23,vwaps,2021-02-22 20:00:00,2021-02-23 00:30:00,13.6063,14.81862,12.79803884221019,30m,tp,8.91,True
24,vwaps,2021-02-23 15:00:00,2021-02-24 17:00:00,15.3979,17.41195,14.054531018135615,30m,tp,13.08,True
25,vwaps,2021-02-28 21:30:00,2021-02-28 23:30:00,13.5982,14.32026,13.116611579059597,30m,sl,-3.54,True
26,vwaps,2021-03-01 01:30:00,2021-03-01 04:30:00,13.9194,14.74204,13.370593847921842,30m,tp,5.91,True
27,vwaps,2021-03-06 19:30:00,2021-03-06 21:00:00,12.895,13.29152,12.630171868105151,30m,tp,3.07,True
28,vwaps,2021-03-07 12:00:00,2021-03-07 13:00:00,13.8419,14.17618,13.61861798850048,30m,sl,-1.61,True
29,vwaps,2021-03-07 15:30:00,2021-03-07 17:30:00,13.53,13.91358,13.27489001340168,30m,tp,2.84,True
30,vwaps,2021-03-09 04:30:00,2021-03-09 13:30:00,14.1082,14.47008,13.867647670262178,30m,tp,2.57,True
